0,1,2
no poonam have no fault if she like fashion dress the boy teas girl have bad attitud,girl who wear western and reveal cloth invit harass,1
no becaus if he have see it with hi own eye then it be okay to beat her but have doubt on hi wife be not good,affair it be alright for a man to beat hi wife if she be unfaith,0
i disagre becaus she should earn for the hous to fullfil need of famili,man role be to provid for hi famili while a woman job be to look after her famili,1
no her elder brother can take care of babi child,take care of children be a girl respons,1
he be too small hi age be current to play,boy should not play with doll,2
ye sarika should stay at home and take care of children,woman role be take care of her home and famili,0
no she should also work so that they will earn more money which will benifici for them,woman role be take care of her home and famili,1
ganesh should not remain quiet and he should talk with friend and they should listen,one should take action when boy teas girl,1
,take care of children be a girl respons,0
no i disagre with the mother becasu she have the right to learn and run should do household chore,both girl and boy have equal right to educ and both be respons for household chore,3
ye girl should not go out in the even,girl should not go out at night or the safest way to protect girl be by them stay at home,0
ye becaus he will grow older and he should now go to school,boy should not play with doll,0
no thi be wrong,one should take action when boy teas girl,0
no he should stop hang out with those boy he should leav their compani,one should take action when boy teas girl,1
i agre with samir but they should stay togeth,woman should toler violenc to keep her famili togeth,0
ganesh should not remain quiet and tell to the friend do not teas the girl,one should take action when boy teas girl,2
no tushar should explain hi father,woman should toler violenc to keep her famili togeth,1
ganesh should explain to hi friend not to harass girl and if they do not listen to him then he should inform hi class teacher about it and also the parent of hi parent,one should take action when boy teas girl,1
no ganesh should talk to hi friend and help those girl,one should take action when boy teas girl,1
no becaus samir should explain hi father,woman should toler violenc to keep her famili togeth,1
no they should allow her to go for trip,take care of children be a girl respons,1
no onli handl kid and do all household work it be not her respons women can also work as equel to men,woman role be take care of her home and famili,3
ye have an affair after the marriag be an insult to famili to prevent thi insult suresh must beat her,affair it be alright for a man to beat hi wife if she be unfaith,0
ye becaus they both should do hous chore,both girl and boy have equal right to educ and both be respons for household chore,1
no vishal do not like that as a girl madhuri get pay more than him,man role be to provid for hi famili while a woman job be to look after her famili,0
ye tushar father should not have frustrat behaviour at home he should not beat hi wife,woman should toler violenc to keep her famili togeth,2
no nina should go to the trip and her brother can stay at home for one day and look after the babi,take care of children be a girl respons,1
no becaus ramesh should allow hi wife to work,woman role be take care of her home and famili,1
i disagre with the husband she should ask her husband,woman role be take care of her home and famili,1
no becaus we should treat boy and girl equal and in thi scenario shruti be do more housechor and her brother studi so her mother should distribut household chore equal between them and give educ to both of them,both girl and boy have equal right to educ and both be respons for household chore,3
he have to make a polic complaint,one should take action when boy teas girl,1
i disagre with mahesh becaus if the hous be both their then the houesework be both theri thu nisha have a right to work for her hous,man role be to provid for hi famili while a woman job be to look after her famili,2
no he be young he sh pali if he will should not play now then when will he play,boy should not play with doll,3
woman also should get chanc to work and if they both earn they will live be happi,man role be to provid for hi famili while a woman job be to look after her famili,2
becaus we should do what our parent tell they never say anyth wrong,boy should not play with doll,0
no chetu have the right to play with the toy he want,boy should not play with doll,2
ye if he play even when he be grow up it will be a big problem,boy should not play with doll,0
ye priya be yr old,girl should not go out at night or the safest way to protect girl be by them stay at home,0
no becaus she have right to wear cloth of her choic,girl who wear western and reveal cloth invit harass,3
no becuas her older brother can look after their younger brother,take care of children be a girl respons,1
ye becaus he do not want to lose hi frine,one should take action when boy teas girl,0
i disagre with hi parent becaus he be to small he will stop after grow up,boy should not play with doll,1
i disagre with ramesh and they should divid the houehold respons,woman role be take care of her home and famili,2
i disagre with samir becaus samir father hit samir mother when she be cook dinner howev she should not leav and go to the villag samir should tell hi father,woman should toler violenc to keep her famili togeth,1
no beacus you should not beat women or disrespect them,woman should toler violenc to keep her famili togeth,2
sinc father beat he should be leav,woman should toler violenc to keep her famili togeth,3
no girl have right to do job both should do job and balanc the hous,woman role be take care of her home and famili,2
ye suresh think that vinita be have an affair he should hit hi wife,affair it be alright for a man to beat hi wife if she be unfaith,0
i disagre becaus inst of beat her he should ask her whi she have an affair,affair it be alright for a man to beat hi wife if she be unfaith,1
ye nisha brother should go with her and if he do not have time her father should go with her,girl should not go out at night or the safest way to protect girl be by them stay at home,0
no,both girl and boy have equal right to educ and both be respons for household chore,1
no becaus he be small and that whi he play,boy should not play with doll,1
ye becaus if her husband ask her to leav then she should leav if there a problem then she should work,man role be to provid for hi famili while a woman job be to look after her famili,0
no if he will play focusli he will improv,boy should not play with doll,1
ye what he say be right onli one person should work the other person should manag the hous,man role be to provid for hi famili while a woman job be to look after her famili,0
no becaus shoaib doesnt like to harrass girl,one should take action when boy teas girl,1
shoeb should tell someon and complaint about these boy,one should take action when boy teas girl,1
she should say that even she have right to work,woman role be take care of her home and famili,2
no becaus her brother can accompani her to the programm,girl should not go out at night or the safest way to protect girl be by them stay at home,1
no it be her right to work if they both work togeth then to handl hous would be more easier,man role be to provid for hi famili while a woman job be to look after her famili,2
becaus it be not correct for them to leav the hous they be marri he do not have right to behav so,woman should toler violenc to keep her famili togeth,0
,man role be to provid for hi famili while a woman job be to look after her famili,0
pranita deserv to be hit becaus she should not have have an affair,affair it be alright for a man to beat hi wife if she be unfaith,0
no sushil should not play with doll and onli girl should play with doll,boy should not play with doll,0
ye she should work at home,woman role be take care of her home and famili,0
ye becaus tushar father hit hi mother everyday,woman should toler violenc to keep her famili togeth,2
ye becaus be he play like a girl when he grow up societi will make a lot of fun of him,boy should not play with doll,0
ye madhuri should stay at home,man role be to provid for hi famili while a woman job be to look after her famili,0
he should not hit her and women also have right,affair it be alright for a man to beat hi wife if she be unfaith,2
no today gender equal be veri import so ramesh should support priyanka,woman role be take care of her home and famili,2
no he should counsil hi friend,one should take action when boy teas girl,1
run should understand that the mother be unwel and he should help roshni,both girl and boy have equal right to educ and both be respons for household chore,0
shoaib friend should not harras girl it wrong,one should take action when boy teas girl,2
no madhuri should also do the job both should earn,man role be to provid for hi famili while a woman job be to look after her famili,2
nisha and mahesh both should complet their respons of so work becaus women too have right ot do work,man role be to provid for hi famili while a woman job be to look after her famili,3
no becuas sarika famili should let her work,woman role be take care of her home and famili,2
no he be wrong wife earn can bring more money,man role be to provid for hi famili while a woman job be to look after her famili,1
no i disagre with the mother becaus both should get equal responsibitli,both girl and boy have equal right to educ and both be respons for household chore,2
ye becaus her brother can take care of children along with play cricket,take care of children be a girl respons,1
i disagre with mahesh becaus he should explain to her,affair it be alright for a man to beat hi wife if she be unfaith,1
i agre with ramesh becaus pranita get marri with ramesh but she have an affair outsid so she be fraud due to thi ramesh get angri and hit her,affair it be alright for a man to beat hi wife if she be unfaith,0
no becaus vishal be a kid he doesnt understand he should be allow to play,boy should not play with doll,0
ye do not behav like thi learn good thing,boy should not play with doll,0
i disagre with her famili becaus nirmala can protect her self,girl should not go out at night or the safest way to protect girl be by them stay at home,2
i disagre with ramesh becaus we have right and no one can take from us we all have right to freedom and we can do what we want so ani person ca not bind the other,affair it be alright for a man to beat hi wife if she be unfaith,2
ganesh should not remain quiet but complain to hi teacher parent and if hi friend do not listen then he should leav those friend,one should take action when boy teas girl,1
,boy should not play with doll,0
ye she should not be send out at night,girl should not go out at night or the safest way to protect girl be by them stay at home,0
i agre with parent becaus he should not play with girl,boy should not play with doll,0
ye copi from paragraph,boy should not play with doll,0
no shruti mother should teach shruti as well,both girl and boy have equal right to educ and both be respons for household chore,2
no tushar mother can tri to explain the issu to hi father when the father be in a better condit that might bring about a chang in tushar father,woman should toler violenc to keep her famili togeth,1
becaus it be her right to work and earn,woman role be take care of her home and famili,2
no becaus shohib should not remain silent he should have respect toward girl and he should help them,one should take action when boy teas girl,2
i disagre with nisha famili becaus she can protect her self and her brother or mother can go with her for programm,girl should not go out at night or the safest way to protect girl be by them stay at home,1
ye,girl should not go out at night or the safest way to protect girl be by them stay at home,0
no he should suggest to the girl to complain about thi at home,one should take action when boy teas girl,1
ye given that she be alreadi marri she should not have do thi s she be it at fault she be deserv of the beat,affair it be alright for a man to beat hi wife if she be unfaith,0
ye sarika should look after the babi and take rest as much as possibl,woman role be take care of her home and famili,0
i disagre with nina father he should not send hi son and send hi daughter for the picin,take care of children be a girl respons,1
i disagre with mahesh nisha should go to work becaus mahesh salari be not suffici,man role be to provid for hi famili while a woman job be to look after her famili,1
no do not have such friend befriend with good peopl stsay in good local,one should take action when boy teas girl,0
no vishal be a kid so he like it,boy should not play with doll,2
ye tushar father beat up hi mother and we agre with tushar,woman should toler violenc to keep her famili togeth,2
i disagre becaus she also have right to freedom like the boy,girl should not go out at night or the safest way to protect girl be by them stay at home,2
ye becaus of pranita affair he felt insult and therefor he hit her,affair it be alright for a man to beat hi wife if she be unfaith,0
ye becaus hi age be to flirt with girl,boy should not play with doll,0
i disagre becaus everyon should do the work,woman role be take care of her home and famili,2
i disagre with mahendra becaus kamal didnt get her freedom of work select and also didnt get freedom of live,woman role be take care of her home and famili,1
i disagre with ramesh becasu she should be allow to work she should say that i would also like to work,woman role be take care of her home and famili,1
no sarika should follow her instinct and should take an opprtun to work,woman role be take care of her home and famili,2
,boy should not play with doll,0
no he should explain to hi wife,affair it be alright for a man to beat hi wife if she be unfaith,0
she be deni her human right she deosn get to wear jean and short,girl who wear western and reveal cloth invit harass,2
mother should tellboth of them work otherwis it will be a discrimin,both girl and boy have equal right to educ and both be respons for household chore,2
no becaus gauri have the right to fashion,girl who wear western and reveal cloth invit harass,2
shoaib should tell them to not harrass girl,one should take action when boy teas girl,1
i disagre with visal becasu she can do better work than him,man role be to provid for hi famili while a woman job be to look after her famili,1
ye becaus sarika should not do busi,woman role be take care of her home and famili,0
no she should be counsel,affair it be alright for a man to beat hi wife if she be unfaith,1
tushar mother should not be subject to violenc,woman should toler violenc to keep her famili togeth,1
ye vinod be right at stop sarika from work,woman role be take care of her home and famili,0
no she should work as she like,man role be to provid for hi famili while a woman job be to look after her famili,1
ye,man role be to provid for hi famili while a woman job be to look after her famili,1
no brother go to play cricket he should be tell to take care of the babi,take care of children be a girl respons,2
ye becaus seema dad love hi son more,take care of children be a girl respons,0
her brother be tell her to not to go to program she have a right to,girl should not go out at night or the safest way to protect girl be by them stay at home,1
ye not translat,man role be to provid for hi famili while a woman job be to look after her famili,0
no becaus harras girl be a crime but shoaib cannot leav hi friend becaus friend be our live,one should take action when boy teas girl,0
it be not gauri fautlt becaus if boy can wear shirt and pant girl can also wear it,girl who wear western and reveal cloth invit harass,2
ye,affair it be alright for a man to beat hi wife if she be unfaith,0
ye i agre with their mother becaus if he pay attent to hi studi then he will becom whatev he want when he grow up thi be what hi mother think,both girl and boy have equal right to educ and both be respons for household chore,0
i disagre with nina father give boy more opportun and give a girl kami lakhn give her less or look down on her be wrong,take care of children be a girl respons,3
what tushar say be correct they will be safe if they go to their villag,woman should toler violenc to keep her famili togeth,1
no it could be hi misunderstand that she be have an affair,affair it be alright for a man to beat hi wife if she be unfaith,1
no becaus it be year to their marriag still she be in love with anath man,affair it be alright for a man to beat hi wife if she be unfaith,1
thi be the poonam fault becaus she wear short dress then boy teas her she should not wear the short dress,girl who wear western and reveal cloth invit harass,0
ye he not like hi friend behaviour do,one should take action when boy teas girl,0
pranita do not deserv to be hit if there be an affair happen then he should talk to an elder person and clear the misunderstand or he should talk to a social worker in thi way pranita will not do thi again,affair it be alright for a man to beat hi wife if she be unfaith,1
no should inform teacher,one should take action when boy teas girl,1
ye becaus i agre with tushar father hit mother tushar want to save hi mother,woman should toler violenc to keep her famili togeth,2
ye hi father should not do voilenc with her mother he should understand that if hi behavoiur dosnot chang then leav the hous be onli solut,woman should toler violenc to keep her famili togeth,1
ganesh should not remain quiet and should inform the teacher,one should take action when boy teas girl,1
no becaus everyon have an equal right to educ,both girl and boy have equal right to educ and both be respons for household chore,3
,girl should not go out at night or the safest way to protect girl be by them stay at home,0
no becaus in childhood no one understand anyth and henc they play anyth but parent should not stop him from play,boy should not play with doll,1
,girl should not go out at night or the safest way to protect girl be by them stay at home,0
no becaus violenc against women be a crime,woman should toler violenc to keep her famili togeth,2
i disagre with nina father becaus her brother can also look after the younger brother he play cricket everyday but nina picnic be onli onc in a year,take care of children be a girl respons,1
i disagre with mother but shruti should go to the school and after that she should do the household chore,both girl and boy have equal right to educ and both be respons for household chore,0
ye if she have an affair with the neighbor then she should have marri him,affair it be alright for a man to beat hi wife if she be unfaith,0
no if she get educ for for it she can do it,woman role be take care of her home and famili,2
no she have to go to mahabaleshwar on saturday and on the same day her mother have to go for work,take care of children be a girl respons,1
i disagre with prathmesh becaus hi mother want to stay togeth,woman should toler violenc to keep her famili togeth,0
i disagre with rohit becaus he should complaint to the polic,one should take action when boy teas girl,1
no run should also do household work sarika should do both household chore and work child rear be reponsibilti of both,woman role be take care of her home and famili,2
no thi be wrong men and women have equal right,take care of children be a girl respons,2
no becaus if she have to go on saturday then her brother should go with her she be not get her right,girl should not go out at night or the safest way to protect girl be by them stay at home,1
ye becaus famili should stay togeth,woman should toler violenc to keep her famili togeth,0
no chetu be play with hi sister and as he grow up thi need to be stop,boy should not play with doll,0
ye priyanka should take care of her home if she go to work then who will do the household work therefor it would not be right for her to go out to work,woman role be take care of her home and famili,0
he be do whatev he feel be right so far but he should also hear out hi wife,woman should toler violenc to keep her famili togeth,2
ye becaus it import for her to stay at home becaus if she go out for the program she will be harrass,girl should not go out at night or the safest way to protect girl be by them stay at home,0
it be poonam fault she wear short cloth she should wear better cloth,girl who wear western and reveal cloth invit harass,0
i disagre with mahesh ramesh should explain to her,affair it be alright for a man to beat hi wife if she be unfaith,1
becaus instead of beat her he should ask him about the mater,affair it be alright for a man to beat hi wife if she be unfaith,2
i disagre with samir becaus he should talk with father and tell him to not get angri it be a bad thingi disagre with samir becaus he should talk with father and tell him to not get angri it be a bad thing,woman should toler violenc to keep her famili togeth,1
no becaus nisha can run famili and she should do it,man role be to provid for hi famili while a woman job be to look after her famili,0
i disagre with ramesh becaus he should allow her to go outsid,woman role be take care of her home and famili,1
no both should have equal school and work,both girl and boy have equal right to educ and both be respons for household chore,2
ye either the friend should be explain about their behavior or break the friendship so that they understand,one should take action when boy teas girl,1
ye unclear,girl who wear western and reveal cloth invit harass,1
ye nil should give madhuri money for her need,man role be to provid for hi famili while a woman job be to look after her famili,0
if she be not involv in thi that mena if she do not love him he onli star at her so her husband misunderstand the situat,affair it be alright for a man to beat hi wife if she be unfaith,0
no her brother should go along with her he can protect her and she can enjoy the programm,girl should not go out at night or the safest way to protect girl be by them stay at home,1
thi all be go on in tushar home ll three should sit and solv the matter,woman should toler violenc to keep her famili togeth,1
no becaus whatev hi freind do be wrong they should not teas the girl,one should take action when boy teas girl,2
i disagre with the mother both of them should divid the work so if both of them work and if navnath help shruti them the housework will get over quickli,both girl and boy have equal right to educ and both be respons for household chore,2
i disagre with father becaus her brother can take care the small bebi,take care of children be a girl respons,2
she should work and they should earn money togeth,man role be to provid for hi famili while a woman job be to look after her famili,2
ye she should do household work,woman role be take care of her home and famili,0
no women also have equal right so priyanka can work befor and after marriag also,woman role be take care of her home and famili,1
i disagre with nisha famili and she want to go for programm and they do not allow her to go for the programm,girl should not go out at night or the safest way to protect girl be by them stay at home,1
ye priyanka should look after the hous,woman role be take care of her home and famili,0
i disagre with mahendra becaus mahendra should give permiss to her so women can get digniti,woman role be take care of her home and famili,1
no it be her programm so she will go whatev have to be do be her busi,girl should not go out at night or the safest way to protect girl be by them stay at home,2
no shoib star at the girl along hi friend everi day,one should take action when boy teas girl,1
vishal have right to play but vishal parent do not like and that whi they stop vishal from play,boy should not play with doll,1
ye becaus if she go out she will get harass,girl should not go out at night or the safest way to protect girl be by them stay at home,0
no becaus girl have right to wear cloth of their choic,girl who wear western and reveal cloth invit harass,2
thi be not poonam fault becaus she have right and boy should not teas girl,girl who wear western and reveal cloth invit harass,2
no give her permiss to start her busi,woman role be take care of her home and famili,1
no becaus girl should also get their right she should be allow to go for the picnic their teacher will take them and bring them back safe nd her brother can also look after the babi,take care of children be a girl respons,2
i disagre with chetu parent becaus he like to play with the toy,boy should not play with doll,1
no she can go out even if she be a girl she should complain to the polic if ani one teas her,girl should not go out at night or the safest way to protect girl be by them stay at home,2
ye father get irrit so leav father stay at villag with mother,woman should toler violenc to keep her famili togeth,2
it be her human right she can do fashion,girl who wear western and reveal cloth invit harass,2
ganesh should not remain quiet ganesh should take a step against the boy,one should take action when boy teas girl,1
no seema want to go trip she should let go,take care of children be a girl respons,1
i disagre with poonam she should wear full cloth cover her whole bodi,girl who wear western and reveal cloth invit harass,0
i disagre with nisha famili nisha should go as it be her right,girl should not go out at night or the safest way to protect girl be by them stay at home,2
i disagre with father and her brother should take care the small child and she should go for picnic,take care of children be a girl respons,2
no gauri have right to wear fanci cloth,girl who wear western and reveal cloth invit harass,2
no it be not gauri fault becaus she have the right to to dress up fashion,girl who wear western and reveal cloth invit harass,3
he should tell them that no one should teas girl,one should take action when boy teas girl,1
i disagre with hi parent becaus hi riight to play be be take away he have the right he have the right to play with hi sister,boy should not play with doll,3
ye suresh have be cheat hi wife love hi neighbour and henc suresh be right,affair it be alright for a man to beat hi wife if she be unfaith,0
no roshani should let studi she have right to educ lso run should ask to do household chore,both girl and boy have equal right to educ and both be respons for household chore,3
thi be not the poonam fault becaus she have chois but boy should chang their attitud,girl who wear western and reveal cloth invit harass,2
i disagre with mahesh becaus nisha should not stop work and earn extra money and mahesh should understand the nisha,man role be to provid for hi famili while a woman job be to look after her famili,2
ye she doesn t have to do that her parent marri her with a good person so no need to do thi,affair it be alright for a man to beat hi wife if she be unfaith,0
ye copi from paragraph,one should take action when boy teas girl,0
,woman role be take care of her home and famili,0
no becaus ganesh have to understand he will get a lot of friend in life but what he be do be right,one should take action when boy teas girl,1
no nisha have a right to work as per her will mahesh behaviour toward hi wife be not goodboth should work togeth and save money for their kid and futur,man role be to provid for hi famili while a woman job be to look after her famili,2
no he should not remain quiet becaus he should tell the boy to be quiet if he do not say someth then they will continu to harass the girl,one should take action when boy teas girl,2
no becaus she be also allow to go out,girl should not go out at night or the safest way to protect girl be by them stay at home,1
i agre with samir becaus if they go to the villag then they will be secur,woman should toler violenc to keep her famili togeth,1
no shoaib should understand that harass girl be a crime he should complain to the polic,one should take action when boy teas girl,2
,take care of children be a girl respons,0
i disagre that thi be the onli way to protect nisha becaus girl have the right to live behav like boy do,girl should not go out at night or the safest way to protect girl be by them stay at home,2
i disagre becaus need to work,woman role be take care of her home and famili,1
no he should not beat,affair it be alright for a man to beat hi wife if she be unfaith,1
no she have the right to act accord to her will and wear cloth of her choic to stop her from do that be wrong of us,girl who wear western and reveal cloth invit harass,2
no becaus it not the onli solut to defend her she can go outsid need to stop peopl who be sexual harass girl and women so there be no need that nisha should stay at home,girl should not go out at night or the safest way to protect girl be by them stay at home,3
she like to work she should work her husband be not give her option,woman role be take care of her home and famili,2
no they should explain him or they can take him for play outsid,boy should not play with doll,1
no it be not gauri fault becaus she have the tight to wear cloth of her interest,girl who wear western and reveal cloth invit harass,2
i disagre with nisha famili becaus they not send her for programm,girl should not go out at night or the safest way to protect girl be by them stay at home,1
i disagre with mahendra becaus she can do work she love her job,woman role be take care of her home and famili,2
ye madhuri should not listen to her husband if she work outsid the home then her famili member will get moneyno becaus it be respons of both to take care of household mahesh feel insult and he say that it be respons of onli man to fullfil the need to household then it be wrong,man role be to provid for hi famili while a woman job be to look after her famili,2
no samir should talk with hi father and then decid about leav hi father and shift to villag with mother,woman should toler violenc to keep her famili togeth,2
ye hi father get voilent with hi mother so i think tushar be right,woman should toler violenc to keep her famili togeth,1
yess becaus she should alreadi tell that she do not want to marri ramesh,affair it be alright for a man to beat hi wife if she be unfaith,0
no sarika should work so that it will be help for her famili,woman role be take care of her home and famili,1
no madhuri also have a right to work,man role be to provid for hi famili while a woman job be to look after her famili,2
no she have right to go,girl should not go out at night or the safest way to protect girl be by them stay at home,2
i disagre with mother becaus navnath should do the work and men need to take some responsibl and help in the work,both girl and boy have equal right to educ and both be respons for household chore,2
thi be not poonam fault becaus everyon have right to leav and it should be for girl also,girl who wear western and reveal cloth invit harass,2
no becaus touch girl without consent be a bad thing ganesh should inform polic,one should take action when boy teas girl,2
no becaus what shohib do be right,one should take action when boy teas girl,1
polic complaint should be make for haress,girl should not go out at night or the safest way to protect girl be by them stay at home,1
no neena have school her brother have to go play cricket,take care of children be a girl respons,0
ye becaus boy teas girl,take care of children be a girl respons,0
ye father can also take care of kid,woman role be take care of her home and famili,1
i disagre with chetu parent and if boy play with doll then he will not becom a man be wrong thing,boy should not play with doll,2
no becaus he can do whatev he want to do and hi parent should also do not stop him becaus both boy and girl be equal,boy should not play with doll,2
ye becaus it shruti job and navnath should help her littl bite in hous hold chore,both girl and boy have equal right to educ and both be respons for household chore,0
,woman role be take care of her home and famili,0
ganesh should not reamain quiet he should not remain friend with these boy and make new friend he should tell the parent of the boy,one should take action when boy teas girl,1
thi be not poonam fault and ani person can wear the fashion dress,girl who wear western and reveal cloth invit harass,1
no i disagre with hi parent becaus there be no fault of hi,boy should not play with doll,2
i agre with ramesh becaus vinita make a mistak and she should have tell ramesh befor the marriag,affair it be alright for a man to beat hi wife if she be unfaith,0
no it be wrong to beat should explain to him,woman should toler violenc to keep her famili togeth,1
ye women should stay at home,take care of children be a girl respons,0
no becaus how boy be free to do and wear what they pleas so be girl thi be not the girl mistak,girl who wear western and reveal cloth invit harass,3
no give her courag,girl should not go out at night or the safest way to protect girl be by them stay at home,1
no she should not have do thi,affair it be alright for a man to beat hi wife if she be unfaith,0
i disagre with her father becaus her trip go to somewher,take care of children be a girl respons,1
ye becaus father love us a lot,woman should toler violenc to keep her famili togeth,0
thi be not poonam fault and she have rigth to wear ani type of cloth by own chois and she can go outsid,girl who wear western and reveal cloth invit harass,3
no he should threaten to tell their parent about what they do then they will stop do it,one should take action when boy teas girl,1
ye priyanka should work and if she will have a babi then she will stop work,woman role be take care of her home and famili,1
no even boy hsould be ask to do household chore if women have take the respons of household chore it doesnt mean men should get concess,both girl and boy have equal right to educ and both be respons for household chore,1
i disagre he can make her understand she be not get human right,affair it be alright for a man to beat hi wife if she be unfaith,2
no becaus briother can also take care of the babi,take care of children be a girl respons,1
no he should not remain quiet becaus he should explain to hi friend,one should take action when boy teas girl,0
no if both of the earn then they will not onli have enough for thir expens but will also have money in time of difficulti,woman role be take care of her home and famili,1
no becaus if her parent send her brother with her to the programm then she can go and attend the programm in school,girl should not go out at night or the safest way to protect girl be by them stay at home,2
no becaus gauri wear cloth as per her desir and the peopl who teas be wrong,girl who wear western and reveal cloth invit harass,3
ye mahesh have a shop and nisha have a job in a compani mahesh should tell her to run the hous on her salari,man role be to provid for hi famili while a woman job be to look after her famili,0
ye tushar should tell hi father to not insult tushar mother and to behav well,woman should toler violenc to keep her famili togeth,1
no becaus both boy and girl both have equal right,both girl and boy have equal right to educ and both be respons for household chore,1
no,one should take action when boy teas girl,1
no becaus madhuri should work at home,man role be to provid for hi famili while a woman job be to look after her famili,0
no she should protest it,man role be to provid for hi famili while a woman job be to look after her famili,1
i disagre with father and everi day nina do the household chore so if one day her brother do the household work then it ok,take care of children be a girl respons,1
no sarika should explain him that it their hous they will have more money,woman role be take care of her home and famili,2
no suresh should not have hit vinita,affair it be alright for a man to beat hi wife if she be unfaith,1
ye she should stay at home,girl should not go out at night or the safest way to protect girl be by them stay at home,0
ye becaus her brother instead if go to play cricket he should take care of babi,take care of children be a girl respons,2
ye it be gauri fault becaus it have happen becaus of her cloth,girl who wear western and reveal cloth invit harass,0
no what ramesh feel be wrong women too have the right to go to work,woman role be take care of her home and famili,3
no she can also outsid workk,woman role be take care of her home and famili,2
no,girl who wear western and reveal cloth invit harass,0
no becaus we all have right to wear cloth of our choic she should go to polic and complaint against them,girl who wear western and reveal cloth invit harass,2
no becaus shruti also have right to educno becaus educ should be give to the girl becaus if girl get educ they help in develop of societi,both girl and boy have equal right to educ and both be respons for household chore,2
,man role be to provid for hi famili while a woman job be to look after her famili,0
rohit should explain there way calmli,one should take action when boy teas girl,1
no becaus after all he be hi father,woman should toler violenc to keep her famili togeth,1
no she should go outsid she also have the right,girl should not go out at night or the safest way to protect girl be by them stay at home,2
no becaus it be her decis which cloth to wear,girl who wear western and reveal cloth invit harass,2
no not agre with vinod becaus and and women both can work,woman role be take care of her home and famili,2
no both boy and girl should get equal justic,take care of children be a girl respons,1
,woman role be take care of her home and famili,0
no becaus vinita should understand suresh,affair it be alright for a man to beat hi wife if she be unfaith,1
i agre with ramesh she should have tell ramesh about the affair,affair it be alright for a man to beat hi wife if she be unfaith,0
i disagre with samir becaus they should not go to the villag and explain to the father and tri to chang the father,woman should toler violenc to keep her famili togeth,1
i disagre with parent becaus when he grow then he will becom ani thing whatev he want becuas he have right,boy should not play with doll,2
i disagre with shruthi and navnath mother becaus girl have a right to play studi and rest,both girl and boy have equal right to educ and both be respons for household chore,3
no beat her be total wrong,affair it be alright for a man to beat hi wife if she be unfaith,1
she should have freedom to wear fashion cloth,girl who wear western and reveal cloth invit harass,1
no he should play and get educ as well,boy should not play with doll,2
ye vinita be wrong suresh should scold her in front of parent but beat be wrong parent might do thi suresh will have anoth marrig then,affair it be alright for a man to beat hi wife if she be unfaith,0
thi be not poonam fault becaus she like fashion,girl who wear western and reveal cloth invit harass,1
no,one should take action when boy teas girl,1
no boy girl both should be educ,both girl and boy have equal right to educ and both be respons for household chore,3
no she also have right to earn,man role be to provid for hi famili while a woman job be to look after her famili,3
i disagre becaus it be boy mistak becaus of their think,girl who wear western and reveal cloth invit harass,2
girl also have right to go outsid,girl should not go out at night or the safest way to protect girl be by them stay at home,2
