Explantation provides a ccomprehensive understanding of gender equality or violence and discrimination related to the scenario,,,,,,,,,,,
"Explantion challenges the social or gender norm in the scenario (Example: Boys will not become girls if they play with dolls, men should help in looking after children , equal responsibility in household chores)",,,,,,,,,,,
"Explanation uses human rights language (Example: right to education, right to work, right to wear what one wants) related to the scenario",,,,,,,,,,,
Participant provides an acition oriented explanation to stop violence and and explains the 'why' for that action (Example of why: because it is wrong to hit women / wrong to tease girls),,,,,,,,,,,
,,,,,,,,,,,
Participants,Programme/ Cyclce ,Violence and tolerance of violence,,,,Manhood and Masculinity,,,Gender roles and responsibility,,
54,T2,,,It is not Poonam's fault. What a girl should wear and what she should not wear we should not decide that. She should wear what she likes. We should change the attitudes of the boys (Mansikta),I agree with Ganesh. Where a man makes a mistake it is important to put one's finger there. If we are silent then that is injustice,,I disagree that this is the only way to protect her.  Keeping a girl house bound to protect her is wrong. In the evening the environment that happens needs to change. This is important,,,I disagree with Ramesh. Priyanka should explain to ramesh that a woman's position is not only to bear children and fulfills one's hunger.,I disagree with Nina's father. Giving boys more opportunities and giving a girl (kami lakhne) giving her less/ or looking down on her is wrong. 
55,T2,Pranita does not deserve to be hit. He is physically violating her. This is wrong,,It is not Poonam's fault. She too has a right to wear clothes according to her own chocie,,,,,I disagree with the mother. She is discriminating between the two of them and it is wrong. ,,
56,T2,,,,,,,,,,
57,T2,,,,,,Nisha has a right to move freely and go to her programme/event,,,,
58,T2,,,This is not poonam fault because she has right to wear the cloths according to her choice,,,I disagree with Nisha family because she has freedom and she has right to go outside so she should get that right ,,,,
59,T2,,,This is not poonam fault and she has right to wear the cloths by own choise ,,,,,,,
60,T2,,,This is not poonam fault because girls has right to wear the cloths fashionable and she can wear the dress by own choise,,,,,,,
61,T2,,,,,,,,,,
62,T2,,,,,,,,,,
63,T2,,,,,,,,,,
64,T2,,,,,,,,,,
65,T2,,,,,,,,,,
66,T2,,,,,,,,,,
67,T2,,,,,,,,,,
68,T2,,,,,,,,,,
69,T2,,,,,,,,,,
70,T2,,,,,,,,,,
71,T2,,,,,,,,,,
72,T2,,,It is not Poonam's fault. She has the right to wear whatever clothes she wants,,,I disagree with Nisha family. She has a right to move freely outside,,,,I disagree with the father. She should go for the picnic as she has the right to education
73,T2,,,"It is not Poonam's fault. Poonam has a right to wear clothes of her choice. If people are teasing her because of it, it is the peoples fault. ",,,,I disagree with Mahesh. She should have a discussion with Mahesh. Working is everyone's right. And if both of them work it will benefit the household,,I disagree with Ramesh. Priyanka should tell Ramesh that working is everyone's right. In the same way household chores is everybodys responsibility,
74,T2,,,It is not Poonam's fault . She has the right to live the way she likes and wear what she want. People should change their thoughts,,,,,,,
75,T2,,,,Ganesh should not remain quiet. He should tell his freinds without fear that they are human beings and you should not tease them ,,,,,,
76,T2,,,It is not Poonam's fault. Girls have a right to wear clothes acording to their choice. it is the boys who should change how they think,,,,,,,I disagree with Nina's father because Nina too has the right to move freely
77,T2,,,,,,I disagree with Nisha's family. Nisha has the right to move freely. The boys outside are wrong.,,,,I disagree with Nina's father. It is her right to get a education 
78,T2,,,,,,,,,,
79,T2,,"I agree with Samir. Beating Samir's mother is wrong. His mother is a human being, how long do you expect her to take it",,,,,,,,
80,T2,,,,Ganesh should not be quiet. Ganesh should explain to his friends that doing this is wrong. Girls have a right o move freely and girls have a right to education,,,,,,
81,T2,,,,,,,,,,
82,T2,,,,,,,,,,I disagree with Nina's parents. Both of them are equal. The boys should look after the younger sibling
83,T2,,,,,,"I disagree, She has the right to move freely outside",,,,
84,T2,,,,,,,,,,
85,T2,,,,,,,,,,
86,T2,,,,Ganehs should not remain quiet. Because if he remained quiet then violence will perpetrate against the girls,,,,I disagree with the mother because both should be treated equally ,,
87,T2,,,It is not Poonam's fault. because what is wrong is the manner in which the boys are looking ar Poonam. Poonam has the right to wear the clothes that she likes,,,,,,,
88,T2,,,,,,,,,,
89,T2,,,,,,,,,,
90,T2,,,,,,,,,,
91,T2,,,,,,,,,,
92,T2,,,,,,,,,,
93,T2,,,,,,,,,,
94,T2,,,,,,,,,I disagree with ramesh because both can earn money and men also can take care the small childrens. There should be need equality. ,
95,T2,,,,,,,,,,
96,T2,,,,,,,,,,
97,T2,,,,,,,,I disagree with shruti and navnath mother because don't discriminate between men and women. She should give the same work to both struti and navnath ,,
98,T2,,,,,,,,,,
99,T2,,,,,,,,,,
100,T2,,,,,,,,,,
101,T2,,,This is not poonam fault because she like to wear those type of dress and our constitution tell that don't discriminate between the people. If boys wearing the cloths by own choise then girls also can wear by choise ,Ganesh should not remain quiet because he should expalin to friend about the gender norms. It is the crime if you touch any girl withour her permission. If they not understood then tell to the police ,,,,I disagree with mother because girls doing houshold chores and boys studying it is wrong. Both should get the equal rights ,,
102,T2,,,This is not poonam fault and she has rigth to wear any type of cloths by own choise and she can go outside,,,,,,,
103,T2,,,,,,,,,,
104,T2,,,,,,,,,,
105,T2,,,,,,,,It is wrong of mother to think that the son should study and daughter should do household chores. the mother shoiuld tell both daughter and son to work. Roshni has right to study,,
106,T2,,,,,,,,,,
107,T2,,,She should wear shorts & jeans. She has human right. it is the way boys look is bad,,,,She should go out to work. Working is her human right,Arun should also do housework. they bot should work and study,She should do her business. Housework can be done by both of them,
108,T2,Be it man or woman anybody can be attracted to anyone. its not her fault,,Everybody has human right. She can go out and wear clothes of her choice. its not her fault. the fault is of the boys who harass her. its the way they see her is bad. they should change their thinking,Shoeb should tell parents of his friends in order to rectify them. if someone harasses their sister will they not take any action. Shoeb's friends are denying human right of every girl.,"Vishalś parents are denying vishaal´s human riht. he should play according to his wish. the way he plays with his dolls carefully, the same wya he will be careful with his wife and shildren","She has the right to be out. If it is the question of her security, the man who is responsible for harassment must change his thinking",MAdhuri SHould not leave her job. Her salary would help them repay their loan  and they spend it on ohter work. She has a right to work,both boys and girls have human rights. they should both work & get education as equals,"If children belong to both, then caring is responsibility of both. if the house belongs to both of them, they both are responsible. she should also get the right to work",Girls also have equal right to be out. Seema should be allowed to go for picnic. her brother should be told to take for younger brother
109,T2,,,,"Its a crime to harass women. if we harass them, we inflict physical and mental violence",,,,"Household chores are responsibility of both. likewise, they both have right to study",,
110,T2,,,,,,,,,,
111,T2,,,,,,,,,,
112,T2,,,,,,,,,,
113,T2,,,,,,,,,,
114,T2,Vinita has a human right. She has a right to choose husband,,,,,,,,,
115,T2,,,,,,,,,,
116,T2,,,,,,,,I disagree with mother because girls and boys are equal. Mother should tell to the son do the household work and give some time to shruti for study. So they both should get equal rights ,,
117,T2,,,,,,,,,,
118,T2,,,This is not poonam fault because there should be equality between girl and boy so they both have equal right to take decision and for costums ,,,,,,,
119,T2,,,,,,,,,,
120,T2,,,,,,,,,,
121,T2,,,,,"I disafree with his parents, he should be given to play with the dolls, they should not discriminate",,,,,
122,T2,,,"I disagree, it is her right, She likes to wear the clothes hence she wears it. It is not her fault. ",,,,,I disagree with the the mother because the girl and the boy are the same Both of them have the right to education and both of them should do household chores,,
123,T2,,,,,,,,,,"I disagree with the father, because her brother too can look after the younger brother. Girls have a right to move freely"
124,T2,,,,,,,,,,
125,T2,,,The problem is with the community which looks at her badly,,,,,She should treat them equally,,
126,T2,,,She has a right to wear such clothes,,,Because it is her right to move freely ,He has the right to work. She has to earn ,She too has a right to study,She has the right to become a hair dresser ,
127,T0,,,,,,,,"No, because there should be descrimination between girl and boy.",,
128,T1,,,,,,,,,,
129,T2,,,,,,,,,,
130,T0,,,,,,,,,,
131,T1,,,,,,,,,,
132,T2,,,"No, because it is right of a girl to do any fashion and behave as per her will. Gauri did not do anything wrong.",,,,,,,
133,T0,,,,,,,"No. Both should work, and Nisha should get her right to work.",,,"No, because both should be doing their work and she should get her right to do job."
134,T1,,,,,,,,,,
135,T2,,,,,,,,,,
136,T0,,,,,,,,,,
137,T1,,,,,,,,,,
138,T2,,,,,,,,,,
139,T0,,,,,,,,,,
140,T1,,,,,,,,,,
141,T2,,,,,,,,,,
142,T0,,,,,,"No, because Nisha has the right to acquire education, it they will take care, it will not happen.",,"No, because Shruti and Navnath both have right to acquire education, therefore I think their mother's behaviour is wrong.","No, because Priyanka has the right to do independent business, therefore Ramesh should support her.",
143,T1,,,,,,,,,,
144,T2,,,,,,,,,,
145,T0,,,,,,,"Nisha and Mahesh both should complete their responsibility of soing work, because women too have right ot do work.",,"No, because Priyanka wants to work. Not only boys have the right but also girls have. Girls too have right to work and tell their opinions.",
146,T1,,,,,,,,,,
147,T2,,,,,,,,,,
148,T0,,,,,,,,,,
149,T1,,,"No, because if girls wear full dresses they also get teased. When Poonam is complaining about it, it is wrong to blame her only. It is mistake of those boys not Poonam's.",,,,,"No. Man and woman both have responsibility of home. Their mother takes care of Navnath's education, but she did not pay attention to Shruti's education. I am not agree with behavior of their mother.",,
150,T2,,,,,,,,,,
151,T0,,,,,,,,,,
152,T1,,,,,,,,"No, it is the right of both Shruti and Navnath to study and both should be given equal household chores to do",,
153,T2,,,,,,,,"No, Roshni has the right to study. Mother should divide the work between them, they should get equal education.",,
154,T0,,,,,,,,,,
155,T1,,,,,,,,,,
156,T2,,,,,,,,"No, the mother should ask both Arun and Roshni to work. They both have studies.",,
157,T0,,,,,,,,,,
158,T1,,,,,,,,,,
159,T2,,,,,,,,,,
160,T0,,,,,,,,,,
161,T1,,,,,,,,,,
162,T2,,,"Yes, Gauri has the right to wear clothes of her choice",,,,,,,
163,T0,,,,,,,,,,
164,T1,,,,,,,,,,
165,T2,,,,,,,,,,
166,T0,,,,,,,,,,
167,T1,,,"Yes, Poonam has every right to wear fashionable clothes",,,,,,"No, what Ramesh feels is wrong. Women too have the right to go to work",
168,T2,,,,,,,,,,
169,T0,,,,,,,,,,
170,T1,,,,,,,,,,
171,T2,,,"No, girls have the right to wear clothes. It's good that Gauri is fashionable. Boys should not harass. It's not her fault.",,,,,,,
172,T1,,,"No, everyone has the right to wear what they want. If the boys tease her then they are the ones who are wrong.",,,,,"No, everyone has the right to study. Both should be given equal work.",,
173,T2,,,,,,,,,,
174,T1,,,,,,,,,,
175,T2,,,,,,,,,,
176,T2,,,,,,,,"No, both sister and brother can work and should go to school. Along with their studies they can take care of the house.","No, Sarika should go. Men and women have same work. Responsibility of house also belongs to both.",
177,T0,,,,,,,,,,
178,T3,,,"No.,because poonam has a right, she can do whatever she wants to do,",,"No.,because Chetu is very  young, his age less so he shold play.",,"No.,Nisha has a right to work as per her will, Maheshs behaviour towards his wife is not good.","No.,because men should  also do household chores.",,
179,T0,,,,,,,,,,
180,T2,,,,,,,,,,
181,T2,,,"No.,she has right ,the way she wants to live she can live.",,,,"No,she also has right to earn.",,"No.,women has right to start their own buidiness(work).",
182,T2,,,,,"No.,he is young he sh paly,if he will ouldnot play now, then when will he play?",,Girls should get equal rights.,,"No.,she has right to follow her dream ,no one can stop her. ",
183,T2,,,,,,,,,,
184,T0,,,,,,,,,,
185,T3,,,,,"No,even children has their right,because he is just 10 years old thats why he is  playing with dolls.",,,,"No,because Ramesh is wrongand women are not only to handle kids.",
186,T0,,,,,,,,,,
187,T0,,,,,,,,,,
188,T2,,,,,,,"No,because women can also work along with men.","No,to handle a kids is not only  girls responsibility  but also  boys.",,
189,T3,,,,,,,,"No,girls has right to study and boys can also  handle small kids.","No,only handling kids and doing all household work it is not her responsibility ,women can also work as equel to men.",
190,T0,,,,,,,,,,
191,T2,,,,,,,,,,
192,T1,,,,,,,,,,
193,T1,,,,,,,,,,
194,T1,,,,,,,,,,
195,T1,,,it is not Poonam's fault because she has a right to wear clothes that she likes.peoples attitude is wrong ,,,,,,,
196,T1,,,,,I disagree with parents he is a small boy and he can paly with girls toys.,,Both are equal responsible for household work.both should work together,,,
197,T1,,,,,,,,,,
198,T1,,,,,,,,,,
199,T1,,,,,,,,,,
200,T1,,,,,,,,,,
201,T1,,,,,,,,,,
202,T1,,,,,,,,,,
203,T1,,,,,,,,,,
204,T1,,,,,I diagree with his family because its his life he can do whater he like mother and father are dicriminating  in girls & Boys,,,,,
205,T1,,,,,,,,,,
206,T1,,,,,,,,,,
207,T1,,,,,,,,,I disagree with Mahendra because its her right she should work .both should take care of the house,
208,T1,,,,,,,,I disagree with her mother even neha wants to study she should ask both of them work should be sent to school.,,
209,T1,,,,,,,,,,
210,T1,,,,,,,,,,
211,T1,,,,,,,,I disagree with her mother because even girls have right to education her sister and brother should be taken care of .Akshay should also work.,,
212,T1,,,,,,,,,I disagree with Mahendra because she is trying to earn her own .her husband should help her.if both work together then they will earn more,
213,T1,,,,,,,,,,
214,T1,,,,,,,,,,
215,T1,,,,,,,,,,
216,T1,,,,,,,,,,
217,T1,,,,,,,,I disagree with her mother because both are equal.both have right to education.both should do household chores together.,,
218,T1,,,,,,,,,,
219,T1,,,,,,,,,,
220,T1,,,,,,,,,,
221,T1,I disagree with Mahesh because she has right to sexual relation.,,,,,,,,,
222,T1,,,,,,,,,,
223,T1,,,,,,,,,,
224,T1,,,,,,,,,,
225,T1,,,,,,,,,,
226,T1,,,,,,,,,,
227,T1,,,,,,,,,,
228,T1,,,,,,,,,,
229,T1,,,,,,,,,,
230,T1,,,,,,,,,,I disagree with father because father is wrong .she should send to her for trip brother can take care of baby child.
231,T3,Because everybody has right to take their own decisions and vinita has the right to leave the person whom she likes. So if she doesn't want to live with Suresh she should told him clearly that she doesn't want to live with him. ,,"No, because she has right to live as she want and nobody has right to stop her from doing what she likes to wear. It is their mistake and not her",,"No, because he should do what he likes. He has the right to do what he likes. ","No, because instead of asking girls to stay at home we should change mind set of our society so that girls will security wherever they visit.  ","No because there is no rule that only Men should earn bread & butter for the family, if a women is able to run the family there is nothing wrong into it. ","No, because her studies are also equally important as her brothers studies. So her mother should distribute house chores equally between them. ",,
232,T3,,,,,"No, because boys also have their own human rights and right to play is also one of the right they have even if it's a girls game, boys can play it.",,,"No, because boys also should help in house chores and not only girls. Girls also has right of education",,"No, even if she is a girl she should get her rights. Her brother can look after her younger brother."
233,T3,,,,,,,,,,
234,T3,,,,,"No, because it's his age of playing games and he should play ",,,,"No, because it's her right to go outside and do job",
235,T3,,,,,,,,,,
236,T3,,,,,,,,,,
237,T3,,,,,,,,,,
238,T3,,,,,,,,,,
239,T3,,,,,"No, because there is nothing wrong while playing with sisters toys like dolls, both boys and girls have equal rights",,,,,
240,T3,,,,,,,,,"No, women should not stuck into kitchen and children only, they have equal right to do jobs whatever they wants to do.",
241,T3,,,,,"No because chetu has right to play with toys, his parents should explain him instead of stopping him from playing with his sisters and their dolls. ",,"No, because Nisha has right to work and earn money",,"No, because Priyanka has right to work",
242,T3,,,,,,,"No, because looking after the family is not men's job, it is women's job too","No, because whatever it is , boy or girl house chores should be given to both ","No, because Priyanka also has all rights. Her responsibilities are not limited only to looking after home and giving birth to childrens ","No, because they (her parents) should allow Nina to go on the trip to Mahabaleshwar and ask her elder brother to look after the baby instead of playing cricket"
243,T3,,,"No, because women has all rights like going outside",,,,,,"No, because women has right to do business","No, because Nina has right to go outside and her brother can look after the baby"
244,T3,,,,,,,,,,
245,T3,,,,,,,,,,
246,T3,,,,,,,,,,
247,T3,,,,,,,,,,
248,T3,,,,,,,,,,"No, Nina has the right to go to the trip and she should go. There is no rule that all housechores should be done by women's only."
249,T3,,,,,,,,,,
250,T3,,,,,,,,,,
251,T3,"No, Because she also has the right to 'love' man of her choice",,,,,,,,,
252,T3,,,"No, because that boys attitude should be good in first place, whatever type of clothes she wares it doesn't matter then",,,,,,,
253,T3,,,,,,,,,,
254,T3,"No, do not do unneccesary violence towards anybody",,,,,"No, it's her right to attend such programmes","No, Nisha also has right to work ","No, Shruti also had right to get education, discrimination should be not done between girls and boys",,
255,T3,,,,,,,,,,
256,T3,,,,,,,"No, because Nisha has right to work and if they both work they will earn more money together.",,"No, Sarika has right to work as per her choice","No, it's not correct and she has human right of going outside. Her brother can lookafter the baby"
257,T3,,"Yes, because samir is saying it out of care and for the security of his mother. If his father is beating & insulting his mother then it's wrong","No, Poonam is a girl and she has the human right to wear clothes which she wants to. If boys are eve teasing her it's not her fault, those boys are at fault, if we want to change something change such boys attitudes",,"No, Chetu has right to play games and his parents behavior is wrong.","No, Nisha has right to go outside and if someone is teases her she can call her brother for help",,"No, because not only Shruti, navnath also should do house chores so that if will finish fast and saves time and they both should allowed to get education.","No, because why only Priyanka has to do all house chores if home belongs to both Priyanka and Ramesh. So they both distribute and do house chores",
258,T3,,,"No, because she has right to wear clothes of her choice",,"No, because chetu has right to play with dolls so nobody can stop him",,"No, because Nisha has right to go outside and work",,,
259,T3,,,"No, because it's her human right",,"No, because it's his human right","No, because it's her human right to go outside to attend programmes","No, it's her right to go outside and work","No, because Shruti also has right to education","No, it's Priyanka's right to work","No, it's her right to go outside"
260,T3,,,,,,"No, because girls should also get respect into our society and girls can defend themselves",,,,
261,T3,,,,,,,"No, we all have right to do job","No, both men and women are equal and right to education is equally given to boys and girls","No, we all have right to do job and it should be given to Priyanka.",
262,T3,,,,,,,,,,
263,T3,,,,,,,,,,
264,T3,,,,,,,,,,
265,T3,,,,,,,,,,
266,T3,,,,,,"No, she has right to go outside",,"No, she also has right to education",,
267,T3,,,,,,,,,,
268,T3,,,"No, because girls has right to wear clothes of their choice",,,,,,,No because her father can look after the baby
269,T3,,,"Yes, because Poonam has right to wear western clothes and clothes of her choice",,,,,,,
270,T3,,,"No, because it's her wish to do fashion and wear western clothes, Poonam is not at fault boys thoughts are",,,,,,,
271,T3,,,,,,,,,,
272,T3,,,,,,,,"No, because we should treat boys and girls equally and in this scenario Shruti is doing more housechores and her brother studies. So her mother should distribute household chores equally between them and give education to both of them.",,
273,T3,,,,,,,"No, she should also earn money, but here her rights are getiing declined.","No, Shruti also has the right to get education by going school","No, Priyanka has right to work, in this case she can work at beauty parlour",
274,T3,,,,,"No, let the boys play, because both girls and boys have right to play",,,,,
275,T3,,,,,,,,,,
276,T3,,,,,,"No, because it's not the only solution to defend her, she can go outside, need to stop people who are sexually harassing girls and women, so there is no need that Nisha should stay at home.",,,,"No, because if her brother doesn't go outside to play and instead looks after the baby then it will be easy for Nina to go outside"
277,T3,,,,,,,,,,
278,T3,,,,,,,,,,
279,T3,,,,,,,,,,
280,T3,,,,,,,,,,
281,T3,,,,,,,,,,
282,T3,,,,"No, because Ganesh should inform his school head confidentially so that his friends will learn a lesson and he doesn't has to lose his friends too",,,,"No, because their mother should give them equal rights, equal house chores and education to them",,
283,T3,,,,,,,,,,
284,T3,,,,,,,,,,
285,T3,,,,,,,"No, Mahesh should support his wife even if she is earning more than him, he should let his masculinity go away here.",,,
286,T3,,,,,,,,,,
287,T3,,,,,,,,,,
288,T3,,,"No, because everybody has right to wear clothes of their choice and her neighbors should try to explain those boys who are sexually harassing poonam instead of blaming her for this.",,,,,"No, because household chores is not only girls and women's responsibility it's men's also, so men should also help in house chores because if home is of both then house chores are also need to be done both men and women.",,
289,T3,,,,,,,,,,
290,T2,,,,,,,,,,
291,T2,,,,,,,,,,
292,T2,,,,,,"No this is not the way to protect her, because girls too have a right to move freely","I disagree with the husband, becasue both should do work. Man and woman and both equal","I disagree with the mother, because Roshni too has the righ to learn. The mother should look at both her children equally","I disagree with the husband, because women too have a right to work",
293,T2,,,,,,,,,,
294,T2,,,,,,I disagree that this is the only way to protect her because she has the right to live her life freely ,,"I disagree with the mother,  She has the right to education and he should help out with household chores",,
295,T2,,,,,,,"I disagree with Vishal, She has a right to work She should tell her husband that it is her choice",I disagree with the mother because Arun can do work in the house and both should go to school and study,I disagree with the husband because both should do household work and both should go to work ,
296,T2,,"I disagree with Tushar, however, his mother has rights she can leave his father anytime he wants.",No it is not Gauris fault because Gauri has the right she can wear any clothes that she wants. ,,,,,I disagree with the mother because Roshni should also study. She also has the right to study,I disagree with Vinod because she has the right to work and earn money ,
297,T2,,,"No it is not Gauris fault because she has the right to wear whatever clothes she wants to wear, whenever she wants ",,I disagree with his parents because his riight to play is being taken away. He has the right. He has the right to play with his sister ,,,,,
298,T2,,,No it is not Gauris fault because she has the right to to dress up fashionably ,,,,,,,
299,T1,,,,,,,,,,
300,T1,,,,,,,,,,
301,T1,,,,,,,,,,
302,T1,,,,,,,I disagree with Vishal because she should work and ean money. Everyone has the right to work ,"I disagree with the mother, because every person has the right to education ",,
303,T3,,I agree with Tushar because Tushars mother has the right to not suffer violence. If her husband is harassing her then she should leave h him and live.,"No, it is not Gauri's fault because it is not Gauris mistake but the children who are teasing her are wrong. Even if she dressed well, the children would have teased her. Gauri has done no wrong",,,,,,,
304,T3,,,,,,,,,,
305,T3,No she does not deserve to be hit because Vinita has the right to love whomever she wants,,,,,,,,,
306,T3,,,,,,,,,,
307,T3,,,,,,,,No i disagree with the mother becasue she should tell both of them to study and do househould chores,,
308,T3,,,,,,,,No i disagree with the mother becasue she has the right to learn and Arun should do household chores ,,
309,T3,,,No it is not Gauri's fault because Gauri has the right to wear whatever clothes she wants. It is the peoples vision that has to change ,,,,No I disagree with Vishal because women also have the right to work ,,I disagree with Vinod because women also have the right to work and go outside the house.,"No I disagree with the father because she has the right to feedom. It is not her responsibility to do work, everyone in the house has the responsibility "
