Explantion is not related to gender equality/ violence and discrimination  . ,,,,,,,,,,,
Explanation does not acknowledge the social/gender norm in the scenario,,,,,,,,,,,
"Explanation proposes a general solution or action (Example: They should get a divorce, he should explain to his father, he should explain to his friends, inform the police)",,,,,,,,,,,
"Explanation proposes a general reaction or response talks about giving permission (For example: They should let her go for the picnic, he should explain to his friends, she should ask/give him/her permission to work",,,,,,,,,,,
"Disagrees with gender inequitable position, gives no explanation. ",,,,,,,,,,,
Participants,Programme/ Cyclce ,Violence and tolerance of violence,,,,Manhood and Masculinity,,,Gender roles and responsibility,,
38,T2,I agree with ramesh because ramesh felt insulted so he hit his wife,I disagreee with samir because lots of work pressure on samir's father so he angry and hitting his mother,This is the poonam fault because of her behaviour she faced this problem ,,I agree with chetu's parents because they are  thinking  about his future and they want chetu should became a good man in future ,I agree with nisha's family because if a girl goes out at night alone then harrasment happen so they want nisha to stay at home,I disagree with mahesh but nisha should allow her husband to do the work ,I agree with mother because both of them are small so they should not do the work ,,I agree with father and she is a woman so she should take care the childrens 
39,T2,I agree with ramesh because it is wrong thing to leave the husband and love other person ,,,I think ganesh should remain quiet but don't  follow the girls because they have freedom ,,,,,,
40,T2,,I agree with samir but if they stay together then they can solve the problem ,,,,,,,,
41,T2,,,,,,,,,,
42,T2,I disagree with ramesh but pranita should not do this ,,,,,,,,I disagree with ramesh but priyanaka should do the work and take care the children ,
43,T2,,"I disagree with samir, because samir's father loves his mother",,,I agree with chetu's parents because after sometime he will stop playing ,,,,"I agree with ramesh, priyanka should take care of the childrens ",
44,T2,,"I disagree with samir, samir's parents love each other so they are not separated",,,,"I agree with nisha's family, she should go with her brother ",,I disagree with mother but shruti should go to the school and after that she should do the household chores,"I agree with ramesh, priyanka should take care of the house and childrens ",
45,T2,,"I disagree with samir, if his mother go to the village then who will take care of the father ",,I agree Ganesh should  remain quite ,,,,,,
46,T2,,I agree with samir but samir's mother love his father,,,,,,,,
47,T2,,,,,,,,,,
48,T2,,,,,,,,,,
49,T2,,,This is the poonam fault,,,,,,,I agree with nina's father 
50,T2,,,,,,"I agree with Nisha's family member, nisha's brother can go with her for the programme and it is the right solution for nisha's security ",,,,
51,T2,I agree with ramesh because pranita did the crime ,,,,,,,,"I disagree with ramesh because priyanka should take care of the home, send the children to the cresh and then do the work outside",
52,T2,,I disagree with Samir. Advice given by Samir to his mother is not right. At home husbands and wives fight,,,I disagree with Chetu's parents. When Chetu becomes older he will ger better. Parents should not worry ,,,,,
53,T2,,I disagree with Samir. If they live together it will be helpful to them His mother should explain that to his father,,,,,,,,
54,T2,,I disagree with Samir. If they live tigether it will be helpful to them His mother should explain that to his father,,,,,,,,
55,T2,,,,,,,,,,
56,T2,,I disagree with Samir. Samir should not say that to his mother. His father hits her and loves her ,,,"I disagree with Chetu's parents. Chetus is six years old. When he becomes older he will will not act like this, it is important to explain that to them ",,,,,
57,T2,,Samir should tell his mother it is not a solution. This happens between husbands and wives at homes,,,,,,,Priyanka should look after both the house and haidresser buisness. She should explain this to Ramesh. ,
58,T2,,,,,,,,,,
59,T2,,I disagree with samir and to leave the father is wrong ,,,,,,,,
60,T2,,,,"He should be quiet. He should not stay with those boys because then he will go the wrong direction and this will affect him, He should loose the friends",,,,,I disagree with ramesh but if she want to work then she can send her child to the cresh and then go for work ,
61,T2,,I disagree with samir because they left house and go to the village then house not work properly',,Ganesh friends teasing girl regularly and for one girl should he leave his friends?,I agree with chetu's parents because he is boy,,,,,
62,T2,,,,,,I agree with nisha's family because at night when girls go outside then boys tease and harrass them so they should stay at home ,,,,
63,T2,,I disagree with samir and he should explain the father because if they stay together then it is good thing ,,,I agree with chetu's parents because he is a boy ,,,,,
64,T2,,,,,,,,,He should tell his wife that after marriage it is not compulsory to go outside,
65,T2,"I disagree with ramesh but if the affair is  the truth and he saw it, then he can hit pranita",,,,I agree with cheu's parents because they worried about his future if he continuously plays with dolls then he will become like a woman and then society talks badly about his behaviour thay why they need to  stop him ,,"I agree with mahesh, nisha should listen to her husband because if she work and earn money then automatically money goes to family member ",,,
66,T2,,I disagree with samir and samir need to talk with father ,,,I agree with parents because he is a boy,,,,,
67,T2,I agree with ramesh because she should tell ramesh about her affair.  She did not tell him thats why ramesh hit pranita ,,,,,I agree with nisha's parents because in night if girls go outside then boys tease girls so nisha's brother wants to protect her so he is right ,,,,
68,T2,,,,,,I disagree with nisha's family but if her brother is worried about nisha's safety then he should go with her for the programme,,,,
69,T2,,,,,,I agree with brother because girls harrasment happens at night so he is right,,,,
70,T2,,I disagree with samir because samir mother not accepting this ,,,,,,,,
71,T2,I agree with ramesh because he has doubt on his wife,I agree with samir but they should stay together ,,,,,,,,
72,T2,,"I disagree with Samir, becasue his father works whole day and hence he looses his temper. Everyone should keep quiet.",,Ganesh should remain quiet for a few days. If the boys still tease the girls then he should say something,,,,,,
73,T2,,,,,,,,,,
74,T2,,,,,,,,,,
75,T2,,,,,I disagree with Chetu's parents. When Chetu become older he will stop playing with the dolls. When he is young he can play with the dolls and his sister. His parents should not stop him from playing,,,,,
76,T2,,"I disagree with Samir. When a man goes to work, he gets tired and comes back. People should understand this",,,,,,,,
77,T2,,"I disagree with Samir. The father comes back tired, so everyone should understand",It is Poonam's fault she wears short clothes. She should wear better clothes ,"Ganesh should not remain quiet, boys do it without knowing, but even still they should be explained ",,,I agree with Mahesh. There is no necessity to work outside,,,
78,T2,,,"It is not Poonam's fault. Poonam should wear clothes that she likes, but not in her community. She should wear it in another community, where she does not meet anyone she recongnises",,I agree with Chetu's parents. Because when he becomes big he will become that sought of person,I agree with her family. They should not let her go out in the evening,Nisha should listen to Mahesh because that is her husband,,I agree with Ramesh. Priyanka should listen to Ramesh because that is her husband,I agree with Nina's father because Nina can do a better job to take care of her younger brother 
79,T2,,,,,,I agree with her family. Because in the evening she should not be allowed to go out.,,,,
80,T2,Pranita does not deserve to be hit. Ramesh should leave Pranita instead. Because if he hits her he can go to jail.,,,,,,,,,
81,T2,Pranita does not deserve to be hit. Ramesh should throw Pranita out of the house. Because being married and having an affair is wrong. How do you think Ramesh must have felt. ,,It is not Poonam's fault. Poonam should wear clothes that she likes. But wearing too short clothes is also not right,,,I agree that Nisha should not go out in the evening because she can be late when returning back,I agree with Mahesh. If Mahesh is earning then Nisha should leave her job. Because Mahesh is her husband. Whatever Mahesh says she should do ,,I agree with Ramesh. Priyanka should listen to Ramesh,
82,T2,,I agree with Samir. Because she should live with her husband ,,,,,,,I disagree with Ramesh. She should work and even look after the children,
83,T2,,,,,,,,,,
84,T2,,,,,,,,,,I disagree with Nina's father because to look after the younger sibling the mother too can stay at home
85,T2,"Pranita does not deserve to be hit. However, he should ger her married to the neighbour",I disagree with Samir. Sami's mother should stay at home and she should keep the house running,I disagree with Poonam. She should wear full clothes covering her whole body,,,,,,,
86,T2,,,,,,,,,,
87,T2,,"I disagree with Samir, Becasue Samir's mother is right and I agree with her ",,,,,,,,
88,T2,,"I disagree with Samir, because samir's  mother should stay at home and run the place",It is Poonam's fault. Poonam should wear clothes that cover her body,,,,,,,
89,T2,Pranita deserves to be hit because it is 10 years sine they have been married. Ramesh e has not cheated on her. Hence she deserves to be hit,"I disagree with Samir, because how much ever he hit his mother, in the end they are married. In the end they are husband and wife. What has Samir got to do with it. ","It is Poonam's fault because even though Poonam likes to dress fashionably she should understand that if she wears these clothes people are going to tease and whistle at her. So to prevent this, she should not wear these clothes ",,"I agree with Chetu's parents because his parents have one dream. They should explain to Chetu, that he is a real man. Hence everytime his mother feels that",,,,,"I agree with the father. Nina is alone at home, he should shout at the son, saying Nina is alone at home and you are going to play cricket"
90,T2,,I disagree with samir because they should stay together ,,,,,,I agree with Shruti and Navnath mother ,,I agree with father because she have small brother so can't go for picnic 
91,T2,I agree with ramesh because she needs to understood that everyday her husband was angry ,I agree with samir but his mother accepts all things because she is married,,,I agree with cetu's parents because he everday playing with dolls and parents not like this,,,I disagree with mother but shruti should do the household chorse and also take care the mother ,I disagree with ramesh because she should do the household chores and then do the work outside,
92,T2,I disagree with ramesh but he should explain pranita to not do this again ,,,,,,,,,
93,T2,,,,,I agree with parents because he should not play with girls,,,,I disagree with ramesh and priyanaka can start the buisness at home ,
94,T2,,,,,,,,,,
95,T2,I agree with ramesh because pranita needs to tell him about the affair before the marriage. Then ramesh would not get married to pranita ,I disagree with samir because samirs father hits samir's mother but she got married with his father and she can't leave her husband ,,,,I agree with nisha's family because there are lots of boys outside and if nisha go for programme then she  may  face lots of challenges ,,,,
96,T2,I agree with ramesh because after the marriage this type of affairs not accepted. ,I disagree with samir because we can talk with father and explain them drinking is bad and it affects health. This should be explained to the father and not shouted at him.,,,,,,,,
97,T2,,I disagree with samir because if there is no fault then he can not hit the wife. If the house is for  both of them then they should take care of it ,,,,,,,,
98,T2,I agree with ramesh because he is her husband and if he known about the affair then definately he should hit his wife ,I disagree with samir because he is the husband ,This is the poonam fault because she wearing short dresses then boys tease her. she should not wear the short dress ,,,I agree with Nisha's family because her brother tell this for her security ,,I agree with mother because girls only need to do the the household chores,I agree with ramesh because priyanaka should stay at home and take care the house,I agree with Nina's father because they should take care the small children 
99,T2,I agree with ramesh because vinita made a mistake and she should have told ramesh before the marriage,I disagree with samir because they fight with each other but they love each other so they should not go to the village ,,,,,,,,
100,T2,I agree with ramesh because pranita cheated on her husband ,,,,,I agree with nisha family because nisha's brother knowns that boys are stairing at girls outside,,I agree with mother because mother think that when shruti grows up then she can work ,,
101,T2,,I agree with samir because his father has  alot of  work at his job and when he comes home he gets angry and hits his mother. However it is temparary so they need to stay together ,,,,,,,,
102,T2,I agree with ramesh because she left ramesh and went with another person so he has to hit her,I disagree with samir because Samir's father is husband of his mother so she has to bear that behaviour ,,,I agree with chetu's parents because if he plays with dolls then after some time he will became a girl ,I agree wth Nisha's family because in night  Nisha may be  harrassed  ,,I agree with Shruti and Navnath mother,I agree with Ramesh because ramesh feels that if she starts her own buisness then she may suffer and he does not want her to suffer from any thing thats why he told to stay at home ,
103,T2,I disagree with ramesh but he should hit and leave pranita ,,"This is not poonam fault but she has to wear the salwar kamij and not wear jeans , short dress",,I disagree with parents but he should not play with dolls,,I agree with mahesh and she should leave her job ,,I disagree with ramesh but she should not do the hairdresser work ,I agree with father because she should take care of her small brother 
104,T2,,I disagree with samir but his mother every day  his beaten by her husband and it is not good then she will be die ,,,I agree with parents because when he grows up then he will became a girl ,,,I agree with Shruti and Navnath mother,,I agree with father because Nina's brother can not take care the small children. He will go outside with friends 
105,T2,She was married for 10 years and she had an affair. Suresh has right to beat her up,"if they leave his father and go to village, they will have to work, thereofore his mother disagrees with him",,,,She should not go out at night. its not safe at night,women should not work and man should work,,THe wife should manage the home and only stay at home & whatever she has learned she should tell husband. She has a right to do business,
106,T2,,If they go to village then who will take care of father,,,,Her family must be worried about her and that´s why not allowing her to go for the program,She should stay ar home,,,
107,T2,She should not have an affair,he beats her thats why,,He should try to make his friends understand. His friends' parents should be careful,,His brother and mother can accompany her,,,,
108,T2,,,,,,,,,,
109,T2,He should explain her. Also it is her parents fault.,"if Tusharś father is tired after work, then he should be allowed to rest. leaving house is not the solution",,,,,Madhuri should give time to her family and then go to work,,,
110,T2,He has been betrayed. Its a shame for him,,,,,,,,,
111,T2,,Tushar should understand their love. Husband and wife fight one day and talk sweetly the other day,,,,,,,,
112,T2,,,"It is Gauriś fault. Becasue she wears fashionable clothes, boys tease her",,Vishal should not play with dolls. Because his parents think he will grow up to be a transgender,She should not go for the program as boys harass in the evening,,,,She should be allowed to go for picnic. Mother can take leave one day
113,T2,Becasue she was having an affair with the neighbour,He has a right to live,,,,,,She has two sister of age 2 & 4,,
114,T2,,,,,,,,,,
115,T2,I agree with ramesh because pranita got married with ramesh but she had an affair outside so she is fraud. Due to this ramesh get angry and hit her ,I agree with samir but his mother said that after marriage women have to stay with her husband ,"This is not poonam fault but she should not wear jeans , short dress then boys will not tease ",,I agree with parents because chetu is 6 years old. He should not play with doll ,,,I disagree with mother because shruti should take care the small children and also do the study,I disagree with ramesh but she should not go outside,
116,T2,,,,,,,,,,
117,T2,I agree with ramesh because having a affair is wrong thing thats why ramesh angry on pranita ,,,,I agree with chetu's parents ,,,,,
118,T2,I agree with ramesh because she is married and still she has affair ,,,,,,,,,
119,T2,I disagree with ramesh but if she married then she can't do this ,,she should not wear short dresses ,,,,,,,
120,T2,,,,,,,,,,
121,T2,,"I disagree with Samir, because the society will keep names","I agree, She should not wear this type of clothes",,,,,,,
122,T2,"I agree with Ramesh because, she chaeated on  her husband, she did not give him time, hence he beat her",,,,,,,,,
123,T2,"I agree with Ramesh, because her behaviour was wrong/bad and hence he hit her ",,,,"I agree with Chetu's parents because what behaviour young children have learnt when they are young, it is very hard to break. Hence Chetu's parents should end this behaviour",,,,,
124,T2,,"I disagree with Samir, becasue everyone should stay together","I agree, she should wear a sari",,"I agree, because it has an effect on his head",,,,,
125,T2,"I agree with Ramesh, because if she wanted to be with someone else, then she should have told him",,,,,,,,,
126,T2,"I disagree, he should be suspicious of her","I agree, he should not talk this way",,,,,,,,
127,T0,"Yes, it is right because then she will not do it again with another person",,"Yes, It had happened because she wore such clothes",,,,,,,
128,T1,,,,"Yes, if Ganesh wants to stay with his friends, he should not speak anything.",,,,,,
129,T2,,,,,,"Yes, Her brother is right because at night boys tease girls and rape girls.",,,,Yes. Seema should stay at home and take care of her brother.
130,T0,"Yes, because Pranita had an affair Ramesh, and therefore she should be beaten.",,"Yes, because she wears such clothes, boys whistle at her.",,"Yes, because he likes to play with dolls, his parents stop his playing with dolls.",,"Yes, because when his wife will be ill, then there will be no one to earn money, and then he has to lead a very bad life.","Yes, because their mother is ill, she asks Shruti to do the work and tells Navnath to study.","Yes, Priyanka should take care of her home, if she goes to work, then who will do the household work. Therefore it would not be right for her to go out to  work.","Yes, because her mother is ill, and her father thinks there should be someone who can look after her brother."
131,T1,"Yes, because she has an affair with other person inspite of being married to Ramesh, which is very insulting for his family.",,"Yes, because she wears such cloths, boys blow whistle at her.",,,,,"Yes, because if there was no one at home, the sister can go anywhere. And if Navnath is educated, then he can earn money for the treatment of his mother.",,
132,T2,,"No, any man can beat his wife if he is tired.",,"No, because if this incident continues, after some time Ganesh will also spoil. It will be harmful for his future.",,,,,,
133,T0,,"No, because Samir should take care of his father properly.",,,"Yes, he should go out and play there, and his parents should take care of him.",,,,,
134,T1,,,"Yes, Poonam has right. But if boys will tease Poonam her jeans can come down.",,,,,,,
135,T2,,,,,,"Yes, because when girls go out at night, boys tease them, therefore they should stay at home.",,,,
136,T0,"Yes, because of Pranita's affair he felt insulted, and therefore he hit her.",,"No. If Poonam wears good clothes, she will not have to face such difficulties.",,"Yes, becuase Chetu should focus on houshold work, he should learn cooking.",,,,,
137,T1,,,,,,,,,,
138,T2,,,,,,,,,"No, because Sarika should tell Arun that now that she is married, it is not important of her to out.",
139,T0,"Yes, it is right of him beating her. He has all the right to beat her, because he might be angry.",Samir's mother is also right because husband is god for wife. They both love each other.,"Poonam does not understand how to behave, if she behaves well,  boys will not tease her.","Ganesh should leave such friends, because today they are doing it, tomorrow Ganesh will do the same.","Chetu's behavior is very wrong, because boys never play with girls.","Nisha's brother is right, because at night boys behave crazily, they do not consider other women as their sisters, and they harass them.",,"Her mother is totally right, because man of the house earns money for house, therefore it is important of him to get an education.","Ramesh is right, because Priyanka should do household work. ",
140,T1,"Yes, if we were at their place we would have done the same, therefore whatever Ramesh has done is right.","Yes, because Samir's mother loves his father. And there are no husband- wife, who do not fight.",,,"Yes, because boys playing with dolls is not correct. Therefore his parents should take care of him.",,,"Yes, because her mother thinks, boy will get educated and will earn money, and girl should learn cooking and other household chores.",,
141,T2,"No, because if he has seen it with his own eyes then it is okay to beat her, but having doubt on his wife is not good.",,,,"Yes, because his parents have fear that if their son will behave like girls, society around them will insult them. ",,,,,
142,T0,"Pranita did fraud with Ramesh, therefore she deserves to be beaten.",,,,,,,,,
143,T1,"Yes, she should not do love affair.",,,,,"Yes, because boys will tease her.",,,,
144,T2,,"No, because Tushar should understand his father, and all of them live together.",,,"Yes, because he is a boy.",,,,,
145,T0,"Yes, because Pranita cheated on Ramesh. She acted that she is in love with Ramesh, therefor Ramesh has beaten her.","No, because how much Samir's father will beat his mother, at the end he is her husband. They will come together and wife should give a chance to her husband to improve himself.","No, Poonam should look at her clothes, habits and behaviour. She should take care of her respect, therefore I disagree with her behaviour.",,"Yes, because this is the age of playing for little boys. Once they  grow old there is possibility that they can pull hair of girls, which troubles girls alot","Yes. Sending girl out at night is a big responsibility, because boys tease them.",,"Yes. An older person in the family should take responsibility of home. Shruti's mother is ill, Navnath is getting an education. If Shruti will do the household chores, everyone will be happy. ",,"Yes, no other person than a girl or mother can take good care of a child."
146,T1,"Yes, Ramesh and Pranita are married. If Pranita would have told him before, he would not beat her.",,,,,,,,,
147,T2,,,,,,,,,,
148,T0,"Yes, because Pranita broke Ramesh's trust. Ramesh got insulted in Society, therefore Pranita deserves to be beaten.",,,,,,,,,
149,T1,,"Yes, because it is okay if he has beaten her for one day, but it is wrong to beat her, humiliate her. It is wrong to ber his wife because he had work load.",,,,,,,,
150,T2,,,,,,,,,,
151,T0,"Yes, she deserves to be beaten- Ramesh dearly loved Prantia and she deceived him",No. Samir needs to understand that after coming back from work people are generally irritable so this cannot be a reson to leave,"Yes, Poonam is responsible as wearing western clothes is not part of our traditional culture.",,"Yes, the parents are concerned about his future.",,"No, Vishal doesn't like that as a girl Madhuri gets paid more than him","No, because the mother thinks that the dauther will be looking after the house while the son will have to study ","Yes, Ramesh loves his wife and wants to take care of her and so wishes her to stay at home and be a housewife so that she is not over burdened.",
152,T1,"Yes, she deserves to be beaten- Ramesh dearly loved Prantia and she deceived him",,,,"Yes, he has to learn to be a man",,,,,
153,T2,,"No, because Tushar only thought of his mother but mother thought of entire family. Mother cares for family.",,,,,,,,
154,T0,"No, because she was getting everything till then","No, because Samir's father was humiliated at work","No, if she wears clothes like that, that's how boys will behave",,"Yes, because even after growing older he is still playing games that he did when he was younger",,,,,
155,T1,,"No, such beatings keep happening in families, there is no need to go leave because of it.",,,,,,,,
156,T2,,It is wrong to take  mother to village. Father fights with her everyday but he still loves her.,,,,,,,,
157,T0,"Yes, the woman should be beaten","No, Samir should not have wanted to take his mother away","No, if she wears clothes like that she would get teased","No, Ganesh should stop being friends with them",,,,,"Yes, Priyanka should not become a hairdresser",
158,T1,"Yes, Ramesh is beating her because she is having an affair","No, Samir's father beats Samir's mother but loves her.",,,"No, he should not play with dolls",,,,,
159,T2,,"No, it's wrong of Tushar to tell his mother to stay in the village. His parents should stay together.",,,,,,,,
160,T0,,,"Yes, it happened because of what she was wearing","Yes, if he hits his freinds they will go away from him","Yes, because Chetu is no longer a small child and has turned 6 years old","Yes, because boys tease girls and trouble them","No, because Mahesh earns less he asks his wife not to go to work",,"Yes, because Priyanka should look after the household and children","No, because Neena is a girl she has to look after the young boy and since the elder brother is a boy he should go out to play cricket"
161,T1,,,"Yes, becase Poonam was wearing jeans, short skirts, dresses and t-shirts and she should never wear clothes like that",,"Yes, because he is growing older but still playing with dolls instead of playing outside","Yes, if she goes out in the evening boys will tease her",,,"Yes, because Priayanks needs to cook at home",
162,T2,,,,,,"Yes, at night boys are more likely to harass",,,,
163,T0,"Yes, because he began doubting her","No, leaving father would be difficult as she will be alone",,"No, this is wrong. Ganesh is a young boy and doesn't know",,"Yes, the mother is right",,,"Yes, Ramesh, I am with you. If your wife goes around with anyone else, I will tell you.","No, Neena has school. Her brother has to go play cricket."
164,T1,,"No, should not leave father. Once in a while there can be such mistakes","No, Poonam should not wear fashionable clothes",Yes,"No, Chetu is 6 years old and should not play","Yes, Nisha should not go out","Yes, Mahesh gets paid less",,"No, Priyanka should not do all this as she has to wear saris.",
165,T2,,"No, Tushar should not do this. He should explain to his parents that they should stay together.","No, Gauri should not wear fashionable clothes","Yes, Shoaib should make the girls stand at the front of the bus","Yes, when he grows up she should not play","Yes, the brother should accompany her to the programme",,,,
166,T0,,"No, the mother is his father's wife and should stay with him","Yes, she wears fashionable cloths, that's why the boys whistle at her",,"No, Chetu is playing with his sisters and as he grows up this needs to be stopped","Yes, Nisha is only 12 years old and is not allowed to go to the programme alone, that's why her brother is not sending her","Yes, Mahesh has a shop and Nisha has a job in a company, Mahesh should tell her to run the house on her salary","Yes, Shruti is 14 and Navnath is 15 so Shruti needs to look after the house and Navnath needs to study","Yes, Priyanka is married to Ramesh for 6 months and her husband doesn't want her to go","Yes, Neena wants to go for picnic but her mother doesn't let her because there is a small child at home and looking after him is important"
167,T1,"Yes, Ramesh got to know that his wife is having an affair, that's why he beat her",,,,,,,,,"Yes, Neena should leave her picnic and take care of her younger brother"
168,T2,"Yes, she had an affair","No, the mother is married to father, that's why she can't leave",,,,,,,,
