Explantion is not related to gender equality/ violence and discrimination  . ,,,,,,,,,,,
Explanation does not acknowledge the social/gender norm in the scenario,,,,,,,,,,,
"Explanation proposes a general solution or action (Example: They should get a divorce, he should explain to his father, he should explain to his friends, inform the police)",,,,,,,,,,,
"Explanation proposes a general reaction or response talks about giving permission (For example: They should let her go for the picnic, he should explain to his friends, she should ask/give him/her permission to work",,,,,,,,,,,
"Disagrees with gender inequitable position, gives no explanation. ",,,,,,,,,,,
Participants,Programme/ Cyclce ,Violence and tolerance of violence,,,,Manhood and Masculinity,,,Gender roles and responsibility,,
22,T2,I disagree because ramesh should talk with pranita ," I disagree with samir, when samir's father comes from work he should not hit  his wife but explain to her",I disagree because it is not poonam fault and she likes fashion ,I agree because ganesh is not staring  at the girls so it is good,I disagree with chetu's parents because he also want to play with his sister ,I disagree with nisha's mother and brother because she has to go for her social programme ,,,I disagree with ramesh and both should think on it ,
23,T2,I disagree with Ramesh because he should not hit but talk with pranita and also talk to pranita's relative ,,,,,"I disagree, Nisha's brother should go with her for programme ",,,,
24,T2,,"I disagree with samir, because samir's mother love with his father but they should leave  his father alone for a few days then his father will  understand his fault",,Ganesh should not remain quiet because he  needs to talk with the boys and ask them if they behave with their sister in the same manner. Then they will understand their fault  ,,,,,,I disagree because the picnic is only for one day so she can go and her mother and brother can take care the small child
25,T2,,,,Ganesh should not remain quiet because ganesh should talk with their friends ,,I disagree nisha should go for the programme,,,,I disagree if nina wants to go for picnic then her mother need to take one day leave from work 
26,T2,"I disagree with ramesh, he should talk with pranita",I disagree because he needs to talk with father about his behaviour,,Ganesh should not remain quiet he should talk with friends and tell them that what they are doing is wrong  ,"I disagree, parents should alow chetu to play ",,I disagree she should talk with mahesh,,,
27,T2,I disagree because he should not do that ,I disagree because need to talk with father ,,Ganesh should not remain quiet because ganesh should talk with his friends ,I disagree because he is small so allow him to play by own choise,,,,,
28,T2,I disagree because he is committing violence ,I disagree because samir  needs to talk with father ,,"Ganesh should not remain quiet, ganesh should talk with friends and tell them they are behaving badly ",I disagree because if he like then they should allow to play,,"I disagree , he should talk with husband and do the work",,,
29,T2,I disagree because he is committing violence ,I disagree because samir  needs to talk with father ,,Ganesh should not remain quiet he should  tell this to school teacher,I disagree because he is small,,I disagree with mahesh because he needs to do the job,,I disagree because need to work,I disagree with father because need to send nina for picnic
30,T2,,,"It is not Poonam's fault. Poonam should go to their homes and complain if she feels people are teasing her because of her jeans, skirts dresses.",Gansesh should not remain quiet. He should explain to his friends.,,I disagree with Nisha's family because if should does not go for the event she will not be allowed to go to the university,I disagree with Mahesh because Nisha should tell Mahesh that if we both work then we will earn more money,,,I disagree with Nina's father because Nina's father tells Ninas brother to look after the younger brother
31,T2,,"I agree with Samir, because his mother loves his father",,,I disagree with his parents because if the toy is removed he will be very unhappy/angry,,"I disagree with Mahesh, Nisha should tell him, 'Baba if we both work then we will have a good future'",,,"I disagree with Nina's father because everyone is going on the picnic, he should send her for the picnic"
32,T2,Pranita does not deserve to be hit. She thinks Ramesh is suspicious of her and that is not right,,,Ganesh should not remain quiet because. He should explain to his friends that they should not do this,I disagree with Chetu's parents because he is small they should let him play with the doll,I disagree with Nisha's family because by doing this nothing is going to happen on the oppsite they should let her go for the event,,,"I disagree with Ramesh, becasue she should be allowed to work. She should say that I would also like to work",I disagree with Nina's father because her brother can also look after. She should also be allowed to play
33,T2,,,,Ganesh should not remain quiet because he should inform the principal,,I disagree with Nisha's family because her father should go with her for the event ,,,,
34,T2,,,,Ganesh should not remain quiet because he should inform the principal,I disagree with parents because chetu likes doll so he can play with doll,,,,,I disagree with nina's father because he told nina take care of the children and told son to play the cricket
35,T2,,,,Ganesh should not remain quiet and should inform the teacher,,,,,, 
36,T2,,,,"Ganesh should not remain quiet, he should talk with his friends then changes will happen ",I disagree with parents because  he should play whith watever he wants,I disagree with nisha's family and she can go with her friends,,,,I disagree with father and they should not behave like that 
37,T2,,I agree with samir ,This is not poonam fault she likes to wear those type of clothes,Ganesh should not remain quiet and should inform the teacher,,,,,,I disagree with father and nina should go for the picnic with friends
38,T2,,,,ganesh should not remain quiet and he should talk with his friends,,,,,,
39,T2,,"I disagree with samir, his father can't hit his mother it is wrong thing but they should stay together ",,,I disagree with parents but he is small so he can play with doll,,,,,I disagree with father because all boys and girls have permission to go outside
40,T2,I disagree with ramesh She has right to want what she wants ,,,,I disagree with the parents . Small children do not understand anything so parents need to understand,I disagree with Nisha's family but they should not keep nisha at home They can go with her for protection ,I disagree with mahesh and Nisha should do the job. In this way their economic condition will be better ,,,
41,T2,I disagree with ramesh because he cannot doubt her ,I disagree with samir but they should understand each other and should discuss about this ,,Ganesh should not remain quiet and talk with friends ,I disagree with parents because he is small but he has right ,I disagree with family. She should go without fear,I disagree with mahesh and she should tell him if we both earn then we will  earn more money ,,,
42,T2,,,,,,I disagree with Nisha's family because they should not keep her in home but go with her for progremme,,,,
43,T2,I disagree with ramesh he should explain to his wife,,,Ganesh should explain to his  friends that girls are ike sisters ,,They should allow her to go for programme,"I disagree with mahesh, but he should close the shop because his wife income is more ",I disagree with mother because she should also  study ,,"I disagree with father, nina's brother can take care small baby after the cricket "
44,T2,I disagree with ramesh he should explain to his wife,,,"Ganesh should not remain quiet, he should expalin to his friends","I disagree with parents, but chetu is small and he has a choice",,I disagree with mahesh but he should close the shop,,,
45,T2,I disagree with Ramesh because it may be a misunderstanding ,,,,Chetu has his own choice ,,,,,I disagree with father 
46,T2,I disagree with ramesh because after marriage also we can love ,,,,,,,,,
47,T2,,I disagree with samir because they should not go to the village and explain to the father and try to change the father ,"This is not poonam fault , if she like them she should wear the clothes","Ganesh should not remain quiet but complain to his teachers, parents, and if his  friend do not listen then he should leave those friends ",I disagree with parents. If he like then he should play or parents also need to support chetu,,,,"I disagree with ramesh, both should do the work and if she want to do work outside  then ramesh should allow her ",
48,T2,I disagree with Ramesh,I agree with Samir ,,,,,She should not leave her job,,,Her elder brother can take care the small baby 
49,T2,I disagree with ramesh Shedoes not deserve to be hit. ,I agree with Samir ,,Ganesh should not remain quiet but should not loose the friends,I disagree with chetu's parents ,I disagree with Nisha's family ,I disagree with mahesh ,I disagree with Shruti and Navnath mother ,I disagree with ramesh,
50,T2,I disagree with ramesh She should talk with hasband,I agree with samir because if they go to the village then they will be secure,"This is not poonam fault, if she likes to wear those type of dresses then she can do it ",Ganesh should remain quiet but he should explain to his friend ,I disagree with chetu's parents if he like to play with doll then they should allow him to play,,I disagree with mahesh and if nisha like to do the work then she can do it ,,,
51,T2,,I agree with samir because his father hit the mother ,This is not poonam fault and any person can wear the fashionable dress ,Ganesh should not remain quiet because he is talking the right things,,,I disagree with mahesh and nisha should talk with her husband and explain about work,"I disagree with mother, but shruti should do the work and also go for education ",,I disagree with father because they only told nina to take care the small children
52,T2,,,,"Ganesh should not remain quiet, He should explain to his friends",,,I disagree with Mahesh. Nisha should get a raise and she should explain to Mahesh,,I disagree with Ramesh. She should give up becoming a hairdresser and do what she likes. ,
53,T2,Pranita does not deserve to be hit. Hitting is not going to resolve anything. He should explain to her ,,,,I disagree with Chetu's parents. He is 6 years old. We should not stop him from playing as he small. He should not loose he childhood years.,,I disagree with Mahesh. Because of her work her family will get peace (sookh),,,
54,T2,Pranita does not deserve to be hit. Hitting is not going to resolve anything. He should explain to her ,,,,I disagree with Chetu's parents. He is only 6 years old.  He should not loose his childhood because of such reasons.,,I disagree with Mahesh.  Nisha should explain to Mahesh that because of her work her family will get peace  (sookh) and benefits,,,
55,T2,,Samir should explain to his father,,"Ganesh should not keep quiet, he should say something",,,,,Looking after the house and work. She too has a right to decide according to her will,
56,T2,,,,"Ganesh should not stay quiet. Ganesh should tell his friends that if they were your sisters, would you behave in this way?",,I disagree with Nisha's parents. Is nisha safe at home and is she safe outside They should ask these questions,I disagree with Mahesh. Mahesh's shop could shut down. Right now she has got a raise. She should explain that to Mahesh,,,
57,T2,,,,,Chetu is playing with his sisters. It is not wrong he should play,,Nisha should explain to her husband Mahesh that difficulties in the household and not taken care by others. ,,,Nina's father should tell Nina's older brother to look after her younger brother for one day. Because he is older and can take care
58,T2,,I disagree with samir because to leave father is not option but we have to talk with them and to oppose the hitting ,,,,,,,,
59,T2,I disagree with ramesh and he should ask reason behind this and not hit as it is wrong,,,Ganesh should not remain quiet and talk with friends ,"I disagree with parents because he is small and if he plays with dolls then he can not became a man, which is a  wrong thing ",,I disagree with mahesh and she should talk with mahesh and do whatever she want ,,,
60,T2,"I disagree with ramesh becase her husband not taking care of her or ignoring her,so she has affair ",I do  agree with samir because after his work the father came into the house and hit his wife  ,,,I disagree with parents becuase now chetu is small thats why he is playing with dolls. After some time when he grows up then he will understand and stop palying. ,I disagree with nisha's family because they can go with nisha for programme,I disagree with mahesh and nisha should explain to him if we earn money then our condition will be better ,I disagree with mother ,,I disagree with father because nina's brother can take care the small children for one day and she can go for picnic
61,T2,I disagree with ramesh,,This is not poonam fault because she likes to wear these dress,,,I disagree with nisha's family and she wants to go for programme and they do not allow her to go for the  programme,I disagree with mahesh because if both work then they will get more money ,I disagree with mother because she did not give any work to navnath so she doing thewrong thing. ,I disagree with ramesh if both work then they get more money,I disagree with father because if her brother does not  play cricket for one day its ok 
62,T2,I disagree with ramesh and pranita has a  right to choose her own patner ,I agree with samir because his father hitting the mother and it is wrong ,,,I disagree with chetu's parents because he is small ,,,,,
63,T2,I disagree with ramesh and pranita has a  right to choose her own patner ,,This is not poonam fault,,,I disagree with nisha's family because they not sending her for programme,I disagree with mahesh because if both are working then more money will conme in house,I disagree with mother because she not told any work to navnath so it is wrong things,I disagree with ramesh because if both are working then more money will come in house,I disagree with nina's father because if one day her brother not playing cricket its ok
64,T2,,,,Ganesh should remain quiet and also explain to his friends ,I disagree with parents because he like to play with doll ,I disagree with nisha's family and nisha's brother should drop her in college for programme,I disagree with mahesh and nisha should talk with mahesh and ask him if she stay at home then what can she do ?,I disagree with mother and navnath should help shruti in her work ,,nina brother can take care the small childerns. nina's father should allow her for picnic
65,T2,,I agree with samir because it is wrong to hit every day,,Ganesh should not remain quiet because if his friends are teasing his sister then he  should talk with his friend about it ,,,,,I disagree with ramesh because priyanaka should expalin to ramesh if both work then more money will come then our economic condition will improve,
66,T2,I disagree with ramesh ,,This is not poonam fault,Because ganesh's friends are teasing girls everytime ,,I disagree with nisha's family because they not sending her for programme,I disagree with mahesh becasue if both are working then more money will come in house,I disagree with mother because she not told any work to navnath and it is wrong thing ,I disagree with ramesh because if both are working then more money will come ,I disagree with father because its ok if one day nina' s brother not play a cricket 
67,T2,,I agree with samir because his father hitting his mother so samir told mother we can go to village and it will safe for mother ,,"Ganesh should not remain quiet , he should talk with his friends",I disagree with chetu's parents because he is small ,,I disagree with mahesh because she has the  right,,,
68,T2,I disagree with ramesh because he should talk with pranita ,I agree with samir because there is not any fault of mother but still his father hits the mother ,This is not poonam fault ,Ganesh should go to the police and make complaint against the friends and also talk with friends family members,,,I disagree with mahesh because she should do the work then they will get more money,,,
69,T2,I disagree with ramesh because love is natural and she fell in love,I agree with samir because up to what level  will she tolerate this violence ,,Ganesh should not remain quiet,I disagree with parents because he is small,,,,She wants to work and men also need to work ,
70,T2,I disagree with ramesh because he can talk with pranita and tell her what she did was wrong ,,,ganesh should not remain quiet and he should talk with friends and they should listen ,I disagree with parents and they should allow ,I disagree with nisha's family because they are doing wrong things,I disagree with mahesh and nisha like to do the work ,I disagree with motheer because she did wrong thing. she only told household work to shruti ,I disagree with ramesh because when she work outside then she got money and then she will give that money to family member ,
71,T2,,,This is not poonam fault and we should give permission to women ,Ganesh should not remain quiet because girls has equal rights and they should not tease  ganesh ,,,,,I disagree with ramesh and priyanka should take care the household and then do the work ,
72,T2,Pranita does not deserve to be hit.,,,Ganesh should not remain quiet. His friends are making fun. They should remain quiet and he should explain to them,"I disagree with his parents. Chetu is not wrong, if he likes to play with () he should play. Nothing will happen",,"I disagree with Mahesh, because if both work the money will increase",,I disagree with Ramesh,
73,T2,,I disagree with Samir. Samir should have a conversation with his mother and father and keep his family together,,,I disagree with Chetu's parents. Chetu is still small and he can play with the toys that he like,I disagree with Nisha's family. Nisha's mother should go along with her,,,,
74,T2,"Pranita does not deserve to be hit. It is wrong to hit, but his wife should behave well and should tell the truth","I disagree with Samir He should not hit, they should stay together",,Ganesh should not remain quiet. His friends must have jokingly said those things to him,,,I disagree with Mahesh. Mahesh should be explained that if both work then things in the home will get better,,,
75,T2,Pranita does not deserve to be hit. Ramesh should ask Pranita what less she sees in him and then he should leave her ,I agree with Samir. If his mother is  hurting. He should get his own house and keep his mother comfortable ,,,,,I disagree with Mahesh. Nishashould tell Mahesh that if both of us work it will be good for our home,,,
76,T2,,,,Ganesh should not remain quiet. He should tell his friends at the same time he should be ready to get beaten,,,I disagree with Mahesh. Nisha should talk to Mahesh and explain to him that if both of them work then it will be good for their home,,"I disagree with Ramesh, if there is time she should work ",
77,T2,Pranita does not deserve to be hit. Howver his wife has hit him on his back. ,,,,"I disagree with Chetu's parents, Chetu should go outside and play with others outside. In the way everyone at home will be fine",,,,I disagree with Ramesh. Both of them should decide together. ,
78,T2,Pranita does not deserve to be hit.  Ramesh should ask Pranita why she acted in this way,"I disagree with Samir. However, Samir's father should not have behaved in this way because he could have hurt his mother",,Ganesh should not remain quiet. Ganesh she telll his friends to keep quiet,,,,,,
79,T2,Pranita does not deserve to be hit.  Ramesh should explain to Pranita that she should not have had an affair. For now forward she should not behave in this way and they should have a fresh start,,,Ganesh should not remain quiet. Ganesh should explain to his friends because he can explain to them ,I disagree with Chetu's parents. Because if Chetu likes it he should be play with it,,"I disagree with Mahesh, If both work for the hoome it is ok. She should tell him that",,,
80,T2,"Pranita does not deserve to be hit. Ramesh should leave Pranita but should not hit Ramesh. Because if he hits, he can go to jail","I disagree with Samir. Samir should explain to his father that he should not do this, as it causes hurt to his mother ",,,I disagree with Chetu's parents. Chetu is small. when he gets older he can play with boys. His parents should not do something like this. ,I disagree with Nisha's family. Nisha should go along with her mother or brother. Because it is evening,I disagree with Mahesh. Nisha should explain to Mahesh that both should bring money for the house.,,I disagree with Ramesh. Priyanka should explain to Ramesh,I disagree with Nina's father. Nina  feels worry for her younger brother but her older brother can take care of her younger brother. 
81,T2,,I agree with Samir. Samir's mother too has life. If Samir's father continuously hits his mother and if anything happens to his mother then Samir will be alone,,Ganesh should not stay quiet. Ganesh should say something if you worry these girls then your friendship will break,I disagree with Chetu's parents. Chetu should play with the dolls because he is small,,,,,I disagree with Nisha's father she should be allowed to go for the picnic
82,T2,Pranita doe not deserve to be hit. Because it is not her fault. She does not love her husband. Hence she is having an affir with the neighbour,,She likes to wear these clothes it is not Poonam's fault,"Ganesh should not remain quiet, because he should go to the police station and make a complaint",I disagree with Chetu's parents. Because he can do anything with his mind. If he wants to play with hte toys he can play,I disagree with Nisha's parents. Because it is her wish. She wil go fo the event properly. No boy will tease her ,I disagree with Nisha. If  she goes to work her income will increase. The house problems will decrease. What is the problem if she goes to work.,,,
83,T2,Pranita does not deserve to be hit because both are equal,"i agree with Samir, because Samir's father hits Samirs mother",It is not Poonam's fault because she likes wearing jeans skirts and shirts. ,"Ganesh should not stay quiet, he should raise his voice",I disagree with Chetu's parents because he likes to play with the toys,,,,,
84,T2,Pranita doe not deserve to be hit. Because it is her life. She will be happy with her neighbour. Hence he should not hit her,"I agree with Samir, because he is saying it for her good only ",It is not Poonam's fault because she likes wearing those clothes. Hence no one should say anything to her,,I disagree with Chetu's parents because he likes to do it,,,,"I disagree with Ramesh, because she likes that",
85,T2,,,,Ganehs should not remain quiet. He should do something after watching,I disagree with Chetu. He is small. They should let him do what he wants,I disagree because Nisha should be allowed to go for the event,,,,
86,T2,I disagree with Ramesh because he should explain to her and not hit her,I disagree with Samir because Samir's father hits Samir's mother when she is cooking dinner. However she should not leave and go to the village. Samir should tell his father,It is not Poonam's fault because she should wear clothes that a girl wears. Whistling and shouting should not happen,,I disagree with Chetu's parents. He is small. He can play with the dolls. His parents should not think in this way,"I disagree, she should live how she wants",I disagree with Mahesh. Because his wives income is more than his and he should not be jealous,,I disagree with Ramesh. Because Priyanka must have felt so hurt in the manner Ramesh has said those things with her,"I disagree with Nina's father because Nina has been told to the work. She has to go for her picnc, Hence she should work when she has the time"
87,T2,,,,Ganesh should not stay quiet. if violence is happening against certain girls then these girls should be kept away from these boys,I agree with Chetu's parents. He should be allowed to play as long as he also studies,,"I disagree with Mahesh, Nisha should explain to Mahesh and work",,,I disagree with Nina's father. Before going to play Nina's brother should help her for a bit
88,T2,I disagree with Ramesh. Because he should not hit her and get her married to the neighbour,,,Ganesh should not remain quiet. Ganesh should take a step against the boys,"I disagree with Chetu, because he is small ",I disagree. Nisha should be allowed to go for the event. If her brother feels that she is going to be harassed then he should go along with her ,I disagree with Mahesh. Nisha should work. Both of them can work and fulfill the house payments,,I disagree with Ramesh. Just like giving birth is her responsibilty in the same way her responsibilty is also to work ,I disagree with Nina's father. He should send her for the picnic and jeep th eboy home to work 
89,T2,,,,Ganesh should not remain quiet because the feels that they are like sisters. And hence Ganesh says something to them because in the end they are like sisters no water which girls,,I disagree because if she has guts then there is no reason to not send her for the event. ,"I disagree with Mahesh becaue id Nisha is earning well, Mahesh should not be stopped from working. ",I disagree with the mother because girls have better understanding of justice compared to girls,"i disagree with Ramesh, because if Priyanka can do everything she can work alsp",
90,T2, I disagree with ramesh because he should talk with pranita not to bit her ,,,Ganesh should not remain quiet ,I disagree with Chetu's parents because he is small and when he grow then he will understand all things ,I disagree with Nisha's family because her brother can go with her for programme ,,,I disagree with ramesh because he should allow her to go outside ,
91,T2,,,,Ganesh should not reamin quiet because his friends are teasing the girls so ganesh need to tell this to class teacher ,,,,,,I disagree with father because the picnic is only once in year 
92,T2,,I agree with samir they should  stay together ,This is not poonam fault because she likes to wear those type of dress,Ganesh should not remain quiet and he should explain to his friends because they also have a mother and sister at home ,I disagree with parents because he don't like do play outside and if he play with sister its ok ,I disagree with nisha's family because they should allow her for programme and also her brother can go with her for programme,,I disagree with mother because she should do the study and when she grow then take care the family,I disagree with ramesh because they both should take care the childrens ,
93,T2,I disagree with ramesh because she has right to love but ramesh can talk with pranita ,I disagree with samir but he can talk with father and stop the hitting,This is not poonam fault because she like that dress ,ganesh should not reamin quiet because he can talk with friends ,,I disagree with nisha's family because nisha's brother or parents can go with her for progamme,I disagree with mahesh. nisha talk with mahesh and explain him it will good if they both will earn money,,,
94,T2,I disagree with ramesh because he should talk with pranita ,I agree with samir because he is doing good work ,,,I disagree with chetu's parents because chetu is small ,I disagree with nisha's family and she can search other solutions ,I disagree with mahesh because girls also can earn money ,,,
95,T2,,,,Ganesh should not reamin quiet because he should talk with friends . Ganesh should explain to his friends that girls are like our sister ,,,I agree with mahesh because mahesh is working in the company . They love with each other and she has right ,I disagree with shruti's and Navnath mother ,,
96,T2,,,,,,I disagree with nisha's family because she can protect her self and her brother or mother can go with her for programme,I disagree with mahesh but nisha should not listen to the husband. But she should explain him. There should be need unity in husband wife relationship. She should do that thing what he told to protect the  relationship. ,,I disagree with ramesh and priyanaka should talk with her husband to save the relationship. ,I disagree with father and every day nina doing the household chores so if one day her brother doing the household work then its ok 
97,T2,,,This is not poonam fault. Because we can't decide what she need to wear and we can't tease her. We also have a mother and sister in our house,Ganesh should not reamin quiet because he should expalin to the friends we have mother and sister in our house ,,I disagree with nisha's family but they can file complaint in to the police station ,,,,
98,T2,,,,Ganesh should not reamin quiet and need to exaplain to his friends girls are like our sister ,I disagree with parents and he should play,,,,,
99,T2,,,,Ganesh should not remain quiet and he should explain to the friends that their sister also may be in a similar place ,I disagree with parents because they should allow him to play. He is small ,I disagree with family member but Nisha's mother should send brother with nisha for programme,,,I disagree with ramesh but she should start her buisness in house and ramesh should support her ,I disagree with father because they can take care small childeren and should allow for picnic
100,T2,,I agree with samir but samir needs to understand why his father gets angry,This is not poonam fault because she can wear clothes according to her own choice,Ganesh should not remain quiet .He should file a police complaint,I disagree with parents because he like to play with doll,,I disagree with mahesh because Nisha like to do the work ,,"I agree with ramesh, but priyanka like to do the buisness so she can do ",
101,T2,I disagree with ramesh because pranita is not happy with her marriage. She must have had some problem and hence got married to Ramesh. Then she had an affiar ,,,,I disagree with parents because if any person behave like women then society call the transgender. But that person born that way so this in not that person fault. It is natural.,,,,,I disagree with Nina's father 
102,T2,,,,Ganesh should not remain quiet and tell to the police ,,,,,,
103,T2,,I agree with samir because they should go to the village ,,Ganesh should not remain quiet because girls are like our sisters ,,I agree with Nisha's parents but they should allow her and to give the opportunity ,,I agree with mother but he should work and take care the mother ,,
104,T2,I disagree with ramesh because may be he misunderstood the situation,,This is not poonam fault she can wear colthes of her choice,,,I disagree with nisha's family because they should send nisha with her brother ,,,I disagree with ramesh and priyanka dreams need to fullill ,
105,T2,,,,,Vishal has right to play. But Vishalś parents do not like and thatś why they stopped vishal from playing ,,,,,Seemaś brother is playing. her mother has to go for work and then take care of the baby. but seema has a right to go for picnic
106,T2,Everybody has human rights,,She likes to wear fashionable clothes. Everybody has human right,To achieve their human right he should keep trying,Because vishal likes to play,,,,Unclear,The brother should take care. Seema doesn go for picnic everyday. Her brother plays cricket everyday
