"Explanation is related to equality  (Example: Both should do housework, both should work) and prevention of violence and discrimination but not complete or coherent ",,,,,,,,,,,
"Through the explantion the participant acknowledges that a social norm exists but does not challenge the social/gender norms (Example: Boys can look after the child, boys should be given household work)",,,,,,,,,,,
Explanation uses the rights language (Example: right to life) but it is not related the scenario ,,,,,,,,,,,
The participant provides an a action oriented explanation for stopping violence but does not answer the 'why' for stopping violence (Example of why: because it is wrong to hit women / wrong to tease girls),,,,,,,,,,,
,,,,,,,,,,,
Participants,Programme/ Cyclce ,Violence and tolerance of violence,,,,Manhood and Masculinity,,,Gender roles and responsibility,,
46,T2,,,This is not poonam fault because she has right and boys should not tease girl,Ganesh should not remain quiet because don't harrase the girl,I disagree with chetu's parents but he has right to play with doll,she has right to freedom,,,i disagree with ramesh because she have freedom do work outside,I disagree with Father because nina's father can take care the small beby
47,T2,"I disagree with ramesh, he should not beatt his wife and he should discuss with pranita ",,,,,I disagree with nisha family because she should go to the programme and we need to chage the our attitude so this question not came ,I disagree with mahesh if nisha want to do work outside then she should do it and mahesh should not act like this ,I disagree with mother if  mother is seek then shruti should do the cooking and navanath should take care the small sister and mother should give same to shruti and navanath,,I disagree with father because nina's brother can take care the small beby and parents should give that responsibility to brother and should send the nina for picnic
48,T2,,,Every person have right to freedom for example wear the dresses by own choise,,Chetu has right to play as per his choice,Every men and women have right to freedom ,,,women have right to do work outside,
49,T2,,,,,,,,,,
50,T2,,,,,,,,I disagree with mother and navnath should take care the house . he should make the food and also should take care the small sister. ,"I disagree with ramesh, priyanka should start her buisness and then their economic problem will be solve. ","I disagree with nina's father, Nina's brother can take care the small children and they should send nina for picnic"
51,T2,,,,,I disagree with chetu's parents because boys and girls can play together ,I disagree with nisha's family because if she stay at home then she will not get the education and also not go outside ,,,,
52,T2,Pranita does not deserve to be hit. It was wrong to hit Pranita. He should have explained to her.,,It is not Poonam's fault. The boys on the street are worrying Poonam. It is not Poonam's fault. She has the freedom to wear clothes of her choices,,,I disagree that this is the only way to protect Nisha. She can protect her own self. She is big. ,,I disagee with the mother. Shruti and Navnath's mother should have given them equal work. This is injustice,,I disagree with Nina's father. Nisha has never gone to Mahableshwar. her brother can look after the younger sibling. She should explain to her father. 
53,T2,,,,,,,,,,
54,T2,,,,,,,,I disagree with the mother. Letting a girl do only household chores and looking at thinking of them as less is wrong.,,
55,T2,,,,,I disagree with Cheu's parents He too has a right to play according to his own will,I disagree that this the only way to protect her because she too has human rights and they should be given to her,I disagree with Mahesh. She should tell her husband that she too can work,,,I disagree with Nina's father because her brother too can look after the younger sibling 
56,T2,Pranita does not deserve to be hit. Hitting Pranita was not right,,It is not Poonam's fault. She should wear those clothes. Let her friends and boys say whayever they want,,,,,I disagree with the mother. Shruti should do housework and go to school. In the same way Navnath should be told the same thing. Because Shruti too likes to study.,I disagree with Ramesh. Priyanka should open a parlour. She should explain to Ramesh. As the house belongs to both of them ,I disagree with Nina's father. Nina shoul go for the picnic. He father should take the decision that her brother can look after the younger sibling. 
57,T2,,,It is not Poonam's fault. Poonam can wear clothes of her choice despite what other think,Ganesh should not remain quiet. Ganesh should tell his friends that they are wrong. And should complain to the police,,,,Shruti and Navnath both should do household chores because the house is both of theirs ,,
58,T2,I disagree with ramesh and beating is not right solution for this ,,,Ganesh should not remain quiet and tell to the friend do not tease the girl it is wrong thing ,I disagree with parents because if he play with doll then he can not became a men this is wrong thing ,,I disagree with mahesh and she can talk with husband and she has right to do the work outside ,I disagree with mother and she is doing discrimination between both of them and she should not do this ,I disagree with ramesh and priyanaka should take the own right ,I disagree with father because they discriminate and they not allow for picnic. Nina's brother can take care the small children 
59,T2,,,,,,I disagree with nisha family because she has right to go outside and she should get that right ,,I disagree with mother and she discriminate between both of them. It is wrong thing. ,I disagree with ramesh because she should start the own buisness ,I disagree with father because they should allow her for picnic and her brother can take care the small children 
60,T2,,,,,,,,,,
61,T2,,,,,,,,,,
62,T2,,,This is not poonam fault because men and women both have right to wear any type of cloths ,Ganesh should not remain quiet because his friends teasing the girl and it is wrong things,,,I disagree with mahesh because women has right to work outside and mahesh opposing nisha for work is worng thing ,Mother should divide the work between shruti and navanth because men should help in household chores,I disagree with ramesh because she has right to do work ,I disagree with father because nina's brother also can take care the small beby
63,T2,,,,Ganesh should not remain quiet because his friends teasing the girls ,,,,,,
64,T2,I disagree with ramesh because after the marriage also she has right to love another person ,I agree with samir because his father should not beat the mother and should behave nicely,This is not poonam fault and she has right to wear the clothes by own choice,,,,,,,
65,T2,,,This is not poonam fault because if boys wear short dress then no one can talk but if girl wearing those type of dresses then society talk bad about that girl and it is wrong ,,,"I disagree because there is discrimination between boy and girl , if boys going outside in the night then no one ask them but if girl going outside in the night then family members bit her and it is wrong thing ",,I disagree with mother because navnath should do the work at home and shruti should go outside ,,I disagree with nina's father because men and women have same right 
66,T2,,,,,,,,,,
67,T2,,,This is not poonam fault because she like fashion but boys should stop teasing ,,,,,I disagree with mother because navnath should do the work and men need to take some responsiblity and help in the work ,I disagree with ramesh because she has right to do the work ,I disagree with father because nina's brother should take care the small childrens 
68,T2,,,,,I disagree with parents because chetu have right to play independantly and his parents stop playing is wrong thing,,,I disagree with mother because she should divide the same work between shruti and navnath and both should do the study,I disagree with ramesh because ramesh also can do the household chores and priyanka should go for work ,I disagree with father because nina's brother also can take care the small children. There is discrimination happen between boys and girl. 
69,T2,,,this is not poonam fault and she can wear the cloths by own choise and she has right ,,,,I disagree with mahesh because women has right to do the work and she should fulfill the household needs,I disagree with mother because women only doing the household chores and men also need to take care of the house,,It is right if nina go for picnic then her brother should take care the sister 
70,T2,,,This is not poonam fault because she like those dress. Boys behaviour is wrong. ,,,,,,,I disagree with father and her brother can take care small children 
71,T2,,,,,,,,I disagree with mother because she should give the household chorse to shruti and navnath,,I disagree with father because her brother can take care the small beby 
72,T2,,,,,,,,,,
73,T2,"Pranita does not deserve to be hit. Ramesh should have a discussion with her, However he should not commit violence against her",,,,,,,"I disagree with the mother because if the mother is sick, then everyone should help in the household chores. Everyone is responsible for household chores including Shruti and Navnath",,I disagree with Nina's father. Nina has a right to move freely. The older brother can take care of the younger sibling
74,T2,,,,,I disagree with Chetu's parents. He will not become a woman by playing with the doll. He likes playing with so he should play with it. ,I disagree with Nisha's parents. Nisha has the right to move freeely. It is a bad thing is the boys tease her,,I disagree with their mother. Becasue if the house is both of theirs then the work is both of theirs,,"Sima should go for the picnic her father is wrong,"
75,T2,,,It is not Poonam's fault. If Poonam likes to wear fashionable clothes she should wear. People should not tease her ,,,I disagree with the family. Nisha has the right to roam freely. And how long will she sit at home,,I disagree with their mother. Both Shruti and Navnath should do the household chores together,,
76,T2,Pranita does not derve to be hit. It is wrong to hit one's wife. If he disagree with her. then he should talk to her,,,,,I disagree with Nisha's family. Nisha should go as it is her right,,I disagree with their mother. If the house is both theirs then both of them should do the household chores,,
77,T2,,,,,,,,I disagree with their mother. IThe household chores is both their responsibilities,,
78,T2,,,,,,,,I disagree with the mother. Both together should do the household chores,,
79,T2,,,It is not Poonam's fault. Poonam should wear clothes that she likes. And nobody should worry her,,,,,I disagree with their mother. Both Shruti and Navnath can do household chores,I disagree with Ramesh. Both of them should work,Nina should be allowed to go for the picnic. Her brother can look after the younger sibling
80,T2,,,"It is not Poonam's fault, because she likes wearing clothes like these",,,,,I dsagree with their mother. The mother should give both of them equal work,,
81,T2,,,,,,,,"I disagree with the mother, both should be given work ",,
82,T2,,,,,,I disagree with Nisha's parents. Because it is her wish. She wil go fo the event properly. No boy will tease her ,,I disagree with the mother. Because both are equal. For both their house is one. Both of them eat and drink the samething. Both of them should work,,
83,T2,,,,,,,I disagree with Mahesh because both are equal,I disagree with their mother because both are equal,I disagree with Ramesh because both are equal,I disagree with Nina's father because both are equal
84,T2,,,,Ganesh should not be queit. He should keep them quiet because they should not tease girls,,"I disagree, she can look after her own self",I disagree with Mahesh because she should work because in the house both should work,I disagree with their mother because they will live happitly,,
85,T2,,,,,,,"I disagree with Mahesh, She can look after her own payments",I disagree with the mother because she can give her son work to do,I disagree with Ramesh. Because it is her responsibility to work,I disagree with Nina because she he should give work to Nina's father as well
86,T2,,,,,,,,,,
87,T2,Pranita does not deserve to be hit because both are equal,,,,,"I disagree, she should have the right to freedom",,I disagree with the mother. Both of them should divide the work. So if both of them work and if Navnath helps Shruti them the housework will get over quickly,I disagree with Ramesh. Both of them should work ,
88,T2,,,,,,,,I disagree with the mother. Navnath should work,,
89,T2,,,,,,,,,,
90,T2,,,This is not poonam fault because she can wear the dress by own choise ,,,,I disagree with mahesh because if both work then more money will came in house ,,,
91,T2,,,This is not poonam fault because she has right to wear that type of cloths ,,,I disagree with nisha's family because she has right to freedom ,I disagree with mahesh because Nisha has right to work ,,,
92,T2,,,,,,,I disagree with mahesh because they both should work and then their life will be good ,,,I disagree with father because nina's brother should take care the small beby
93,T2,,,,,,,,I disagree with mother because her brother can take care the small sister ,,I disagree with father because her brother can take care small sister 
94,T2,,,This is not poonam fault because she has freedom ,Ganesh should not reamin quiet because he should stop the harrasment ,,,,I disagree with mother because women and men is equal ,,I disagree with nina's father because nina has some rights and she has choise
95,T2,,,"This is not poonam fault because she has right to wear the cloths by own choise and she can wear jeans, shorts, dress. ",,I disagree with chetu's parents because chetu has the right to play . ,,,,I disagree with ramesh because priyanka can leave ramesh and she has right ,I disagree with nina's father because she has right 
96,T2,,,This is not poonam fault because everyone has right to leave and it should be for girls also ,Ganesh should not remain quiet and he should explain to the friends don't tease the girls it is wrong. ,I disagree with parents because he like to play with doll and it is not wrong ,,,I disagree with mother because both boys and girls has right to eduaction and our life is depend upon the education. ,,
97,T2,I disagree with Ramesh because we have rights and no one can take from us. we all have right to freedom and we can do what we want so any person can't bind the other ,,,,I disagree with chetu's parents because not only girls can play with doll but boys also can play with doll ,,I disagree with mahesh because nisha should not stop work and earn extra money and mahesh should understood the Nisha ,,I disagree with ramesh because she should expalin the ramesh if house is both of them then work also dived between them and if he not listen then take the divorce,I disagree with Nina's family and they have to treat equal to both of them Nina and her brother 
98,T2,,,,,,,I disagree with mahesh because both should work together ,,,
99,T2,,,This is not poonam fault because every girl has right to freedom ,,,,"I disagree with mahesh and Nisha should work because the money need to survive and in future there is another person came in house. The money is need for health, land etc",I disagree with mother and she should tell them if we do this then they both may be not learn anything in future ,,
100,T2,,,,,,,,,,I agree with father but Nina like to go for picnic and her brother can take care the children 
101,T2,,,,,,I disagree with Nisha family because boys can go outside when they want so girl also can go outside ,I disagree with mahesh because she like to do the work. If they both work then they got satisfaction and happiness,,Priyanka should explain to ramesh if the house is both of us then we both have to do the household chores ,
102,T2,,,,,,,I disagree with Mahesh because both should work ,,,
103,T2,,,,,,,I disagree with Mahesh because both should work ,,,
104,T2,,,,Ganesh should not remain quiet and tell to the friends do not tease the girl ,,,,,,
105,T2,,,"Itś not Gauriś fault. its her human right. If she gous out, its not her fault. SHe likes to wear jeans and shorts",Shoeb doesn want to lose his friends. He tells them to rectify his friends,,,,,,
106,T2,,,,,,,,its not that only women should household chores. Even men shoiuld do those work,,
107,T2,,,,,"Because he likes to play, he hould be allowed to play. He can stay that way",,,,,
108,T2,,,,,,,,,,
109,T2,,,Its is Gauri´s right to wear fashionable clothes. she can wear what she likes,,vishal likes to play with dolls. he has a right to,,,,,Even men can take care of the baby. if children belong to both of them then both should take care of the baby
110,T2,,,,,He likes to play with dolls,,,Boys should also do Household chores,she should work as per her wish. she has a right to work,"Not only girls, boys should also take care of younger brother"
111,T2,,,,,,,Madhuri should work. the money will be used to manage home. she has the right to work,Arun should work. Boys should also do household chores. Girls are more intelligent they can study,She should have completed her education before getting married. She can work after marriage. She has the right,
112,T2,,,,,,,,,Everybody has human right. she should start her business,
113,T2,,,She is denied her Human right. She deosn get to wear jeans and shorts,,Vishal has HUman right. He likes to play with his sisters,,,,,
114,T2,,,the boys should understand she is a human. she has human rights ,,,,MAdhuri should without break earn money and explain her husband. She has a human right to work,Man and woman are equal. Mother should tell Arun also to do housework,Sarika should explaing Arun. Sarika should ensure her Human right,
115,T2,,,,,,,I agree with mahesh but both should work and earn money ,,,
116,T2,I disagree with ramesh because pranita has a right to leave. Beating is not only one option. He should talk with pranita ,,This is not poonam fault because everyone have right to wear the cloths by own choice and if someone teasing then go to the police and make complaint ,,I disagree with chetu's parents and if boy play with doll then he will not became a man is wrong thing,,,,,
117,T2,,I agree with samir because beating is wrong ,This is not poonam fault and she has right to wear the cloths ,Ganesh should not remain quiet because to harrase the girl is wrong thing ,,I agree with family but she has right to go outside ,I disagree with Mahesh and Nisha can do the job and she has right ,I disagree with mother because shruti should get the education ,I disagree with ramesh and she should do the buisness and she has right ,I disagree with father because Nina's brother can take care the small children 
118,T2,,I agree with samir because his father beating the mother and he should stop that so he need to go to the village ,,,,,,I disagree with mother because she should allow for study to both shruti and navnath ,,I disagree with father and her brother should take care the small child and she should go for picnic 
119,T2,,,,Ganesh should not remain quiet because his friends teasing the girl and they should not do this ,I disagree with parents because he should get opportunity go play and parents should not do this ,I disagree with nisha family because women has right to go outside ,I disagree with mahesh because everyone have right to work and Mahesh should not do this ,I disagree with mother because only shruti should not do the work and all need to do the work ,I disagree with ramesh because both should do the work ,I disagree with Nina's father because her brother needs to do the work 
120,T2,,,,,,,,,,
121,T2,,,,,"I disafree with his parents, he should be given to play with the dolls, they should not discriminate",,"I disagree with Mahesh, both of them should work","I disagree, everyone should come together and work ","I disagree with Ramesh, because looking after the house is bothe their responsibility","I disagree with the father, because Nina'ds brother too can llook after the younger brother"
122,T2,,,,,,"Just like boys have the right to move freely, girls to have the right to move freely. Otherwise, he rmother should send her brother along with her. ",I disagree with Mahesh because if the house is both theirs then the houesework is both theris. Thus Nisha has a right to work for her house,,"I disagree with Ramesh, because she must be bored sitting at her home. She must be thinking that I should do some work ",I disagreee with the father. Becasue both of them have a right to play and hence both of them should look after the younger brother
123,T2,,,It is not Poonam's fault because girls have a right to dress fashionable and they should receive this right,,,"I disagree, because girls should get their rights",I disagree with Mahesh. Because this work is both theirs so both should work,,If the house is both theirs then the work is both theirs,
124,T2,,,,"Ganesh should not remain quiet, teasing should not happen",,,,I disagree because both should work together,She should start her own business,I disagree becuase the brother can look after the younger sibling
125,T2,,I agree with Samir. his mother should fight for her rights and control the problem,,,,,She should work and they should earn money together,,She should explain to her husband and both of them should work,She has a right to live
126,T2,,,,,,Because it is her right to move freely ,,,,
127,T0,,,,,,,"No, this is wrong, Mahesh should not stop Nisha from doing her job.",,"No, because evreyone has the right to do job.","No, because her father should let her go."
128,T1,"No, Ramesh should encourage Pranita to do work.",,"No, she has right to wear cloths of her choice. ",,"No, should have right to play.",,,"No, because both have the responsibility of domestic work, therefore both should do it.","No, because both have the responsibility of domestic work, therefore both should do it.","No, Neena's brother can also take care of child."
129,T2,,,"No, because it is her decision which cloths to wear.",,,,"No, because woman have right to do job, she can also fulfill the needs of household.","No, Men should take care of home too, it is only women who take care of home.",,
130,T0,,,,,,,,,,
131,T1,,,,,,,,,"No, because it's her right to fullfill her dream.",
132,T2,,,,,,,,,,
133,T0,,,"No, because if boys are wearing jeans, why cannot women. They should wear jeans and shorts.",,,,,"No, because their mother is ill, they both should stay at home and work.",,
134,T1,,,,,"No, Chetu has the right to play with the toy he wants.",No. Nisha too has right to go out.,"No, both should work with unity. Weather their payment is high or low, both have the responsibility to look after their home.","No, Shruti should also go to school.","No, because Priyanka too has right to go out.",
135,T2,,,"No, because if man has the right to wear any cloths he wants, then woman too has righ to wear any cloths she wants.","No, because whatever Shohib's friends are doing to the girl is wrong.",,,"No, because women have right ot do work, and her husband is restricting her work, which is wrong.","No, because their mother should give work to both of them. And men should share the responsibility of home too.","No. Even if they are married, he should let her wife go to the work, because women too have right to do work.","No, becuase if she is going for a trip, then her other brother should take care of her brother."
136,T0,,,,,,,,,,No. Neena should go to trip. Her older brother can take care of her younger brother.
137,T1,,,"No, Poonam has the right to wear whatever cloths she wants. Boys around her should be told how to behave.",,,,"No, both should work.","No, just because Shruti is girl, the work will be told to her only. Her brother should be told the same work too.",,No. Neena should go to trip. Her older brother can take care of her younger brother.
138,T2,"No, because Vinita has right to fall in love. Even if she is married, she can love another person.","Yes, Tushar's father should not have frustrating behaviour at home. He should not beat his wife.","No, Poonam has the right to wear whatever cloths she wants. Boys around her should be told how to behave.",,,,,"No, Arun should help his sister.",,"No, because her father should tell her older brother to take care of little brother, and allow her to go for trip."
139,T0,,,,,,,"Mahesh is wrong because, if both of them will be working, it will be easy to handle the household.",,,"Neena's father is wrong, because Neena's older brother can take care of little brother."
140,T1,,,"No, because not only boys but girls have right to do fashion.",,,,"No, because Mahesh should understand, if Nisha will also earn, then there income will be good.",,,"No, because not only boys but also girls have right to go out."
141,T2,,,"No, because it is every individual's choice to wear whatever they want. For example, a boy can wear anything he want, and if girl does the same, everyone start to slutshame her.",,,"No, because boys can roam everywhere at night, but if a girl does the same, she is beaten, therefore it is very wrong. ",,"No, Roshani should go out and her brother should work at home.","No, Sarika should tell her husband that, both will do work, and live our life happily. Whatever income we both will earn, our family will be happy.","No, this is wrong, men and women have equal rights."
142,T0,,,"No, boys should improve their thinking, and should not tease girls. Therefore it is not Poonam's mistake.",,,,"No, because Nisha has right to work. If they both will earn money, it will be profitable to their child.",,,
143,T1,,,"No, because it is her right to wear whatever cloths she wants.",No. He should tell his friends that it is wrong to tease girls. Girls have right to leave their life.,,,,No. The responsibility of household chores should be given to both.,"No. Priyanka has right to do work, therefore let her do her work.",
